stability_label,family_count,row_count,reward_sum,event_reward_sum,families,binding_states
multisensory_stable_repeat,10,14,7.0,7.0,"dio_02qu,dio_0arw,dio_0fiy,dio_0igh,dio_0x1o,dio_143d,dio_14xc,dio_1g2t,dio_1qwp,dio_1vpi","multisensory_burdened_memory,multisensory_carried_contact,multisensory_quiet_hold,multisensory_quiet_observation"
multisensory_mixed_repeat,2,5,2.0,2.0,"dio_16yc,dio_1txv",multisensory_quiet_observation
