symbol_family,development_state,maturation_state,count,runs,first_moment_state,last_moment_state,moment_path,binding_path,action_path,distinct_moment_count,reward_sum,event_reward_sum,development_sentence,passive_only
dio_0hd3,development_stable_carried,maturation_stable_carried,1,161,moment_carried,moment_carried,moment_carried,multisensory_carried_contact,SHORT,1,1.0,1.0,dio_0hd3: stabil getragen; Pfad=moment_carried; Aktionen=SHORT; reward_sum=1.000000.,1
dio_1g18,development_stable_carried,maturation_stable_carried,3,"159,160,161",moment_carried,moment_carried,moment_carried -> moment_carried -> moment_carried,multisensory_carried_contact -> multisensory_carried_contact -> multisensory_carried_contact,SHORT -> SHORT -> SHORT,1,3.0,3.0,dio_1g18: stabil getragen; Pfad=moment_carried -> moment_carried -> moment_carried; Aktionen=SHORT -> SHORT -> SHORT; reward_sum=3.000000.,1
dio_0cgn,development_observation_to_carried,maturation_mixed_recurrence,3,"159,160,161",moment_quiet_observed,moment_carried,moment_quiet_observed -> moment_quiet_observed -> moment_carried,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_carried_contact,WAIT -> WAIT -> LONG,2,1.0,1.0,dio_0cgn: Entwicklung von Beobachtung/Halten zu getragenem Kontakt; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_carried; Aktionen=WAIT -> WAIT -> LONG; reward_sum=1.000000.,1
dio_07rf,development_quiet_observation,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,1,0.0,0.0,dio_07rf: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT.,1
dio_0gmg,development_quiet_observation,maturation_quiet_observation,3,"159,160,161",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,1,0.0,0.0,dio_0gmg: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT -> WAIT.,1
dio_0izw,development_quiet_observation,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,1,0.0,0.0,dio_0izw: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT.,1
dio_15ms,development_quiet_observation,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_held,moment_quiet_observed -> moment_quiet_held,multisensory_quiet_observation -> multisensory_quiet_hold,WAIT -> WAIT,2,0.0,0.0,dio_15ms: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_held; Aktionen=WAIT -> WAIT.,1
dio_173s,development_quiet_observation,maturation_quiet_observation,3,"159,160,161",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,1,0.0,0.0,dio_173s: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT -> WAIT.,1
dio_1mn2,development_quiet_observation,maturation_quiet_observation,1,161,moment_quiet_observed,moment_quiet_observed,moment_quiet_observed,multisensory_quiet_observation,WAIT,1,0.0,0.0,dio_1mn2: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed; Aktionen=WAIT.,1
dio_1mx2,development_quiet_observation,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,1,0.0,0.0,dio_1mx2: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT.,1
dio_1pfo,development_quiet_observation,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,1,0.0,0.0,dio_1pfo: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT.,1
dio_0x52,development_repeated_burden,maturation_stable_conflicted_burden,2,"159,160",moment_conflicted_burden,moment_conflicted_burden,moment_conflicted_burden -> moment_conflicted_burden,multisensory_conflicted_burden -> multisensory_conflicted_burden,SHORT -> SHORT,1,-2.0,-2.0,dio_0x52: wiederholt belastend/widerspruechlich; Pfad=moment_conflicted_burden -> moment_conflicted_burden; Aktionen=SHORT -> SHORT; reward_sum=-2.000000.,1
