development_state,family_count,row_count,reward_sum,event_reward_sum,families,maturation_states
development_stable_carried,2,4,4.0,4.0,"dio_0hd3,dio_1g18",maturation_stable_carried
development_observation_to_carried,1,3,1.0,1.0,dio_0cgn,maturation_mixed_recurrence
development_quiet_observation,8,17,0.0,0.0,"dio_07rf,dio_0gmg,dio_0izw,dio_15ms,dio_173s,dio_1mn2,dio_1mx2,dio_1pfo",maturation_quiet_observation
development_repeated_burden,1,2,-2.0,-2.0,dio_0x52,maturation_stable_conflicted_burden
