world,source_file,families,carry_signal_family_count,positive_carried_cos_family_count,avg_carry,max_carry,avg_carried_cos,max_carried_cos,avg_readiness,max_readiness,avg_inner_balance,avg_temporal_trust,avg_temporal_caution
probe13,debug\dio_mini_temporal_neuro_kinship_probe18_to_variant_probe13\temporal_neuro_kinship_transfer.csv,14,14,12,0.225486,0.293134,0.602318,0.994741,0.032902,0.099069,0.082613,0.0,0.72
probe12,debug\dio_mini_temporal_neuro_kinship_probe18_to_variant_probe12\temporal_neuro_kinship_transfer.csv,18,18,15,0.217861,0.278738,0.556171,0.989408,0.016427,0.061732,0.069832,0.0,0.72
