family,run_count,first_run,last_run,executed_runs,observed_runs,held_runs,raw_runs,reward_sum,max_trade_readiness,max_mature_transfer,transition
dio_14wi,4,68,71,4,0,0,4,3.596804,0.485576,0.076872,persistent_execution
dio_0a54,4,68,71,4,0,0,4,2.296872,0.350492,0.065628,persistent_execution
dio_1alf,4,68,71,4,0,0,4,2.107256,0.256578,0.064363,persistent_execution
dio_0rps,4,68,71,0,4,0,0,0.0,0.045185,0.045185,stable_observation
dio_0v15,4,68,71,0,4,4,4,0.0,0.168536,0.071525,raw_pressure_held
dio_1y2t,4,68,71,0,4,4,4,0.0,0.13803,0.071802,raw_pressure_held
