family,run,rows,executed,raw_trade_pressure,held_same_episode,observed_potential,reward_sum,max_trade_readiness,max_mature_transfer
dio_0a54,68,1,1,1,0,0,0.574218,0.219913,0.062601
dio_0a54,69,1,1,1,0,0,0.574218,0.271391,0.063758
dio_0a54,70,1,1,1,0,0,0.574218,0.314458,0.064843
dio_0a54,71,1,1,1,0,0,0.574218,0.350492,0.065628
dio_0rps,68,1,0,0,0,1,0.0,0.025298,0.025298
dio_0rps,69,1,0,0,0,1,0.0,0.035988,0.035988
dio_0rps,70,1,0,0,0,1,0.0,0.04081,0.04081
dio_0rps,71,1,0,0,0,1,0.0,0.045185,0.045185
dio_0v15,68,1,0,1,1,1,0.0,0.090409,0.069392
dio_0v15,69,1,0,1,1,1,0.0,0.132416,0.070197
dio_0v15,70,1,0,1,1,1,0.0,0.151351,0.07107
dio_0v15,71,1,0,1,1,1,0.0,0.168536,0.071525
dio_14wi,68,1,1,1,0,0,0.899201,0.191166,0.071378
dio_14wi,69,1,1,1,0,0,0.899201,0.335322,0.073345
dio_14wi,70,1,1,1,0,0,0.899201,0.417167,0.075634
dio_14wi,71,1,1,1,0,0,0.899201,0.485576,0.076872
dio_1alf,68,1,1,1,0,0,0.526814,0.073147,0.05968
dio_1alf,69,1,1,1,0,0,0.526814,0.155891,0.061634
dio_1alf,70,1,1,1,0,0,0.526814,0.210739,0.063255
dio_1alf,71,1,1,1,0,0,0.526814,0.256578,0.064363
dio_1y2t,68,1,0,1,1,1,0.0,0.074124,0.067094
dio_1y2t,69,1,0,1,1,1,0.0,0.108488,0.069158
dio_1y2t,70,1,0,1,1,1,0.0,0.123973,0.070698
dio_1y2t,71,1,0,1,1,1,0.0,0.13803,0.071802
