inner_transition,stability_kind,count,reward_sum,best_reward_sum,avg_reward,positive_contacts,observed_potentials,families,actions
same_inner_state,stable_state,4,5.539416,5.539416,1.384854,4,0,dio_0arw,LONG
inner_unknown_to_inner_carried,transition_state,4,4.146636,4.146636,1.036659,4,0,dio_0t0v,LONG
timeline_start,start_state,4,3.577568,3.577568,0.894392,4,0,dio_1u7v,SHORT
inner_carried_to_inner_open_observation,transition_state,4,0.0,0.37806,0.0,0,4,dio_14xc,WAIT
inner_cautious_to_inner_unknown,transition_state,4,0.0,2.516584,0.0,0,4,dio_00qb,WAIT
inner_open_observation_to_inner_cautious,transition_state,4,0.0,0.569932,0.0,0,4,dio_1vpi,WAIT
