symbol_family,action,outcome_event,count,reward_sum,avg_reward,runs,ticks,passive_only
dio_02qu,LONG,TP,1,1.0,1.0,155,17,1
dio_0arw,LONG,TP,3,3.0,1.0,"153,154,155","6,6,6",1
dio_0t0v,LONG,TP,2,2.0,1.0,"153,154","14,14",1
dio_1u7v,SHORT,TP,3,3.0,1.0,"153,154,155","1,1,1",1
dio_1vpi,SHORT,TP,1,1.0,1.0,155,12,1
dio_00qb,WAIT,NO_TRADE,2,0.0,0.0,"153,154","13,13",1
dio_14xc,WAIT,NO_TRADE,3,0.0,0.0,"153,154,155","11,11,11",1
dio_1vpi,WAIT,NO_TRADE,2,0.0,0.0,"153,154","12,12",1
