maturation_state,family_count,row_count,reward_sum,event_reward_sum,families,bindings,outcomes
maturation_stable_carried,4,8,8.0,8.0,"dio_02qu,dio_0arw,dio_0x1o,dio_1vpi",multisensory_carried_contact,TP
maturation_mixed_recurrence,2,5,2.0,2.0,"dio_16yc,dio_1txv",multisensory_quiet_observation,NO_TRADE
maturation_quiet_observation,5,5,0.0,0.0,"dio_0igh,dio_143d,dio_14xc,dio_1g2t,dio_1qwp","multisensory_quiet_hold,multisensory_quiet_observation",NO_TRADE
maturation_negative_open,1,1,-1.0,-1.0,dio_0fiy,multisensory_burdened_memory,SL
