trace_group,field,left_family,right_family,left_value,right_value,abs_delta,trace_state,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,trace_similarity
sehen,avg_sehen_form_flow,dio_1rv1,dio_1jgc,0.072169,0.072164,5e-06,gemeinsame_spur,True,False,False,False,False,False,False,False,
sehen,avg_sehen_form_stability,dio_1rv1,dio_1jgc,1.0,1.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
sehen,avg_sehen_form_change,dio_1rv1,dio_1jgc,0.144338,0.144329,9e-06,gemeinsame_spur,True,False,False,False,False,False,False,False,
sehen,__group_summary__,dio_1rv1,dio_1jgc,,,5e-06,gemeinsame_spur,True,False,False,False,False,False,False,False,1.0
hoeren,avg_hoeren_energy_tone,dio_1rv1,dio_1jgc,0.060883,0.043071,0.017812,gemeinsame_spur,True,False,False,False,False,False,False,False,
hoeren,avg_hoeren_energy_shift,dio_1rv1,dio_1jgc,0.204478,0.117647,0.086831,nahe_spur,True,False,False,False,False,False,False,False,
hoeren,__group_summary__,dio_1rv1,dio_1jgc,,,0.052321,nahe_spur,True,False,False,False,False,False,False,False,0.978569
fuehlen_mcm,avg_fuehlen_mcm_coherence,dio_1rv1,dio_1jgc,0.982953,0.98794,0.004987,gemeinsame_spur,True,False,False,False,False,False,False,False,
fuehlen_mcm,avg_fuehlen_mcm_tension,dio_1rv1,dio_1jgc,0.078976,0.071491,0.007485,gemeinsame_spur,True,False,False,False,False,False,False,False,
fuehlen_mcm,avg_fuehlen_mcm_asymmetry,dio_1rv1,dio_1jgc,0.115951,0.09858,0.017371,gemeinsame_spur,True,False,False,False,False,False,False,False,
fuehlen_mcm,__group_summary__,dio_1rv1,dio_1jgc,,,0.009948,gemeinsame_spur,True,False,False,False,False,False,False,False,0.999209
zeit_nachhall,avg_mini_recurrence_strength,dio_1rv1,dio_1jgc,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_afterimage,dio_1rv1,dio_1jgc,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_time_distance,dio_1rv1,dio_1jgc,1.0,1.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_temporal_form_distance,dio_1rv1,dio_1jgc,1.0,1.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_temporal_trust_support,dio_1rv1,dio_1jgc,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_temporal_caution_support,dio_1rv1,dio_1jgc,0.72,0.72,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,__group_summary__,dio_1rv1,dio_1jgc,,,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,1.0
neuro,avg_mini_focus_tone,dio_1rv1,dio_1jgc,0.741819,0.744013,0.002194,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_trust_tone,dio_1rv1,dio_1jgc,0.001262,0.001265,3e-06,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_caution_tone,dio_1rv1,dio_1jgc,0.230124,0.228614,0.00151,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_strain_tone,dio_1rv1,dio_1jgc,0.156846,0.153937,0.002909,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_relief_tone,dio_1rv1,dio_1jgc,0.320012,0.321662,0.00165,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_observation_tone,dio_1rv1,dio_1jgc,0.433887,0.433883,4e-06,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_neuro_support,dio_1rv1,dio_1jgc,0.36299,0.364001,0.001011,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_neuro_load,dio_1rv1,dio_1jgc,0.16713,0.165243,0.001887,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_neuro_balance,dio_1rv1,dio_1jgc,0.19586,0.198758,0.002898,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,__group_summary__,dio_1rv1,dio_1jgc,,,0.001563,gemeinsame_spur,True,False,False,False,False,False,False,False,0.99998
reflexion,avg_reflection_context_carry,dio_1rv1,dio_1jgc,0.144086,0.144761,0.000675,gemeinsame_spur,True,False,False,False,False,False,False,False,
reflexion,avg_reflection_context_strain,dio_1rv1,dio_1jgc,0.264109,0.263307,0.000802,gemeinsame_spur,True,False,False,False,False,False,False,False,
