trace_group,field,left_family,right_family,left_value,right_value,abs_delta,trace_state,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,trace_similarity
sehen,avg_sehen_form_flow,dio_0scd,dio_0axn,0.421088,0.439803,0.018715,gemeinsame_spur,True,False,False,False,False,False,False,False,
sehen,avg_sehen_form_stability,dio_0scd,dio_0axn,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
sehen,avg_sehen_form_change,dio_0scd,dio_0axn,-0.131732,-0.106958,0.024774,gemeinsame_spur,True,False,False,False,False,False,False,False,
sehen,__group_summary__,dio_0scd,dio_0axn,,,0.014496,gemeinsame_spur,True,False,False,False,False,False,False,False,0.998322
hoeren,avg_hoeren_energy_tone,dio_0scd,dio_0axn,-0.020974,-0.022179,0.001205,gemeinsame_spur,True,False,False,False,False,False,False,False,
hoeren,avg_hoeren_energy_shift,dio_0scd,dio_0axn,-0.184255,-0.178063,0.006192,gemeinsame_spur,True,False,False,False,False,False,False,False,
hoeren,__group_summary__,dio_0scd,dio_0axn,,,0.003699,gemeinsame_spur,True,False,False,False,False,False,False,False,0.999891
fuehlen_mcm,avg_fuehlen_mcm_coherence,dio_0scd,dio_0axn,0.394127,0.39379,0.000337,gemeinsame_spur,True,False,False,False,False,False,False,False,
fuehlen_mcm,avg_fuehlen_mcm_tension,dio_0scd,dio_0axn,0.206743,0.211146,0.004403,gemeinsame_spur,True,False,False,False,False,False,False,False,
fuehlen_mcm,avg_fuehlen_mcm_asymmetry,dio_0scd,dio_0axn,0.167343,0.185007,0.017664,gemeinsame_spur,True,False,False,False,False,False,False,False,
fuehlen_mcm,__group_summary__,dio_0scd,dio_0axn,,,0.007468,gemeinsame_spur,True,False,False,False,False,False,False,False,0.999554
zeit_nachhall,avg_mini_recurrence_strength,dio_0scd,dio_0axn,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_afterimage,dio_0scd,dio_0axn,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_time_distance,dio_0scd,dio_0axn,1.0,1.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_temporal_form_distance,dio_0scd,dio_0axn,1.0,1.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_temporal_trust_support,dio_0scd,dio_0axn,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,avg_mini_temporal_caution_support,dio_0scd,dio_0axn,0.72,0.72,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
zeit_nachhall,__group_summary__,dio_0scd,dio_0axn,,,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,1.0
neuro,avg_mini_focus_tone,dio_0scd,dio_0axn,0.493829,0.492901,0.000928,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_trust_tone,dio_0scd,dio_0axn,0.001007,0.001013,6e-06,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_caution_tone,dio_0scd,dio_0axn,0.255834,0.256717,0.000883,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_strain_tone,dio_0scd,dio_0axn,0.206608,0.208315,0.001707,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_relief_tone,dio_0scd,dio_0axn,0.29182,0.290853,0.000967,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_observation_tone,dio_0scd,dio_0axn,0.434112,0.434107,5e-06,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_neuro_support,dio_0scd,dio_0axn,0.286751,0.28626,0.000491,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_neuro_load,dio_0scd,dio_0axn,0.199342,0.200448,0.001106,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,avg_mini_neuro_balance,dio_0scd,dio_0axn,0.087409,0.085812,0.001597,gemeinsame_spur,True,False,False,False,False,False,False,False,
neuro,__group_summary__,dio_0scd,dio_0axn,,,0.000854,gemeinsame_spur,True,False,False,False,False,False,False,False,0.999994
reflexion,avg_reflection_context_carry,dio_0scd,dio_0axn,0.106989,0.107115,0.000126,gemeinsame_spur,True,False,False,False,False,False,False,False,
reflexion,avg_reflection_context_strain,dio_0scd,dio_0axn,0.28369,0.284044,0.000354,gemeinsame_spur,True,False,False,False,False,False,False,False,
reflexion,avg_reflection_context_alignment,dio_0scd,dio_0axn,0.801095,0.800107,0.000988,gemeinsame_spur,True,False,False,False,False,False,False,False,
reflexion,avg_reflection_world_support,dio_0scd,dio_0axn,0.017482,0.017163,0.000319,gemeinsame_spur,True,False,False,False,False,False,False,False,
reflexion,avg_reflection_current_support,dio_0scd,dio_0axn,0.216386,0.217056,0.00067,gemeinsame_spur,True,False,False,False,False,False,False,False,
reflexion,__group_summary__,dio_0scd,dio_0axn,,,0.000491,gemeinsame_spur,True,False,False,False,False,False,False,False,0.999998
reife_kontext,candidate_meaning_preservation_rate,dio_0scd,dio_0axn,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
reife_kontext,candidate_stable_recurrence_rate,dio_0scd,dio_0axn,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
reife_kontext,candidate_variant_capacity_rate,dio_0scd,dio_0axn,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
reife_kontext,candidate_temporal_fragility,dio_0scd,dio_0axn,0.0,0.0,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,
reife_kontext,__group_summary__,dio_0scd,dio_0axn,,,0.0,gemeinsame_spur,True,False,False,False,False,False,False,False,1.0
