variant_reife_state,count,event_reward_sum,variant_count,episode_count,variants,family_actions
variant_local_wait_context,24,0.0,3,71,"probe14_f2,probe16_f2,probe17_f3","probe14_f2:dio_0989:WAIT,probe14_f2:dio_0b66:WAIT,probe14_f2:dio_0gmg:WAIT,probe14_f2:dio_0qze:WAIT,probe14_f2:dio_1guc:WAIT,probe14_f2:dio_1t1w:WAIT,probe16_f2:dio_04zi:WAIT,probe16_f2:dio_06bd:WAIT,probe16_f2:dio_0fa9:WAIT,probe16_f2:dio_0ojr:WAIT,probe16_f2:dio_0rb2:WAIT,probe16_f2:dio_10kx:WAIT,probe16_f2:dio_1f4v:WAIT,probe16_f2:dio_1g7l:WAIT,probe16_f2:dio_1jo7:WAIT,probe16_f2:dio_1q9b:WAIT,probe16_f2:dio_1qig:WAIT,probe16_f2:dio_1t73:WAIT,probe16_f2:dio_1vjg:WAIT,probe16_f2:dio_1w4m:WAIT,probe17_f3:dio_0120:WAIT,probe17_f3:dio_10dk:WAIT,probe17_f3:dio_1d1z:WAIT,probe17_f3:dio_1f9y:WAIT"
variant_related_observation_trace,9,0.0,3,26,"probe14_f2,probe16_f2,probe17_f3","probe14_f2:dio_173s:WAIT,probe14_f2:dio_1rv1:WAIT,probe16_f2:dio_0cgn:WAIT,probe16_f2:dio_0vc8:WAIT,probe16_f2:dio_1k0r:WAIT,probe17_f3:dio_143d:WAIT,probe17_f3:dio_1c6b:WAIT,probe17_f3:dio_1d3r:WAIT,probe17_f3:dio_1m4n:WAIT"
variant_self_burden_action_trace,1,-1.0,1,1,probe16_f2,probe16_f2:dio_1k0r:LONG
variant_self_carried_action_trace,4,12.0,2,12,"probe14_f2,probe17_f3","probe14_f2:dio_0hd3:SHORT,probe14_f2:dio_0szn:SHORT,probe17_f3:dio_0n9e:LONG,probe17_f3:dio_1k7y:LONG"
