compare_label,compare_state,count,reward_delta,episode_delta,families
probe14_f1_to_f2,same_variant_state,10,0.0,0,"dio_0989:WAIT,dio_0b66:WAIT,dio_0gmg:WAIT,dio_0hd3:SHORT,dio_0qze:WAIT,dio_0szn:SHORT,dio_173s:WAIT,dio_1guc:WAIT,dio_1rv1:WAIT,dio_1t1w:WAIT"
probe16_f1_to_f2,new_variant_trace,4,0.0,8,"dio_10kx:WAIT,dio_1f4v:WAIT,dio_1k0r:WAIT,dio_1vjg:WAIT"
probe16_f1_to_f2,same_variant_state,14,2.0,0,"dio_04zi:WAIT,dio_06bd:WAIT,dio_0cgn:WAIT,dio_0fa9:WAIT,dio_0ojr:WAIT,dio_0rb2:WAIT,dio_0vc8:WAIT,dio_1g7l:WAIT,dio_1jo7:WAIT,dio_1k0r:LONG,dio_1q9b:WAIT,dio_1qig:WAIT,dio_1t73:WAIT,dio_1w4m:WAIT"
probe17_f2_to_f3,same_variant_state,10,0.0,0,"dio_0120:WAIT,dio_0n9e:LONG,dio_10dk:WAIT,dio_143d:WAIT,dio_1c6b:WAIT,dio_1d1z:WAIT,dio_1d3r:WAIT,dio_1f9y:WAIT,dio_1k7y:LONG,dio_1m4n:WAIT"
