action,count,event_reward_sum,variant_count,episode_count,variants,family_actions
LONG,2,6.0,1,6,probe17_f3,"probe17_f3:dio_0n9e:LONG,probe17_f3:dio_1k7y:LONG"
SHORT,2,6.0,1,6,probe14_f2,"probe14_f2:dio_0hd3:SHORT,probe14_f2:dio_0szn:SHORT"
