inner_landkarte_state,family_count,row_count,reward_sum,identical_repeat_families,families
inner_map_caution_stable_identical_repeat,1,2,-2.0,1,dio_0x52
inner_map_quiet_stable_identical_repeat,6,14,0.0,6,"dio_07rf,dio_0gmg,dio_0izw,dio_173s,dio_1mx2,dio_1pfo"
inner_map_quiet_variant_repeat,1,2,0.0,0,dio_15ms
inner_map_shift_or_variant,1,3,1.0,0,dio_0cgn
inner_map_single_observation,2,2,1.0,0,"dio_0hd3,dio_1mn2"
inner_map_trust_stable_identical_repeat,1,3,3.0,1,dio_1g18
