world_label,symbol_family,reflection_context_symbol,episodes,trades,tp,sl,reward_sum,carried_count,cautious_count,avg_reflection_carry,avg_reflection_strain,avg_reflection_alignment,unloaded_count,avg_reflection_world_support,avg_reflection_current_support,avg_trade_readiness,avg_mini_neuro_balance,avg_observation_learning_pressure,max_reflection_carry,max_reflection_strain,last_context_state,last_symbol,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric
probe14,dio_1rv1,dio_rctx_sa7tr6,2,0,0,0,0.0,2,0,0.3085865,0.2216505,0.948407,0,0.3318035,0.2802105,0.020137,0.1993965,0.5427175,0.30931,0.221909,reflection_context_carried,dio_1rv13no,True,False,False,False,False
probe14,dio_0qze,dio_rctx_jufkgv,2,0,0,0,0.0,2,0,0.307551,0.2254835,0.952964,0,0.328717,0.2816805,0.0204895,0.1839645,0.552146,0.308286,0.225746,reflection_context_carried,dio_0qze2dp,True,False,False,False,False
probe14,dio_0hd3,dio_rctx_okhm2q,2,0,0,0,0.0,2,0,0.3059665,0.249752,0.993363,0,0.3089535,0.302316,0.038908,0.0851455,0.625883,0.306845,0.25006,reflection_context_carried,dio_0hd3xl3,True,False,False,False,False
probe14,dio_1pfo,dio_rctx_kvh73v,2,0,0,0,0.0,2,0,0.300796,0.2550365,0.989607,0,0.305473,0.2950795,0.003845,0.0677455,0.6539315,0.300859,0.255059,reflection_context_carried,dio_1pfo7u4,True,False,False,False,False
probe14,dio_0989,dio_rctx_c8pd9h,2,0,0,0,0.0,2,0,0.300017,0.2555355,0.9887295,0,0.305089,0.2938185,0.0228825,0.0658255,0.6253245,0.300893,0.255843,reflection_context_carried,dio_0989uuk,True,False,False,False,False
probe14,dio_0b66,dio_rctx_b5rcun,2,0,0,0,0.0,2,0,0.2979565,0.2544275,0.9819445,0,0.3060815,0.2880255,0.0212095,0.0707875,0.607838,0.298752,0.254714,reflection_context_carried,dio_0b66us7,True,False,False,False,False
probe14,dio_1guc,dio_rctx_tuxt7x,2,0,0,0,0.0,2,0,0.29575,0.2497315,0.9677435,0,0.310266,0.278009,0.035459,0.0917095,0.549562,0.296521,0.250002,reflection_context_carried,dio_1guc9eq,True,False,False,False,False
probe14,dio_1t1w,dio_rctx_dae94m,2,0,0,0,0.0,2,0,0.293994,0.2559185,0.974612,0,0.305418,0.2800305,0.021689,0.0674705,0.582104,0.294756,0.256193,reflection_context_carried,dio_1t1wbqf,True,False,False,False,False
probe14,dio_1wie,dio_rctx_12p5vrr,2,0,0,0,0.0,2,0,0.2700595,0.23876,0.905994,0,0.3123625,0.2183565,0.014497,0.1021915,0.417137,0.270645,0.238965,reflection_context_carried,dio_1wiep1d,True,False,False,False,False
probe14,dio_12jm,dio_rctx_czee13,2,0,0,0,0.0,2,0,0.2657885,0.259156,0.932769,0,0.2960425,0.2288115,0.0291765,0.0205925,0.457672,0.266431,0.259381,reflection_context_carried,dio_12jmqj2,True,False,False,False,False
