passive_family_action,inner_memory_state,map_count,map_labels,source_labels,seeds,actions,trace_count,avg_similarity,avg_mcm_similarity,real_reward_sum,transition_state,memory_note,passive_only
dio_14xc:LONG,passive_inner_memory_stable,3,"basis,followup1,followup2",probe18,inner_trust_seed,LONG,3,0.80021625,0.843510833,9.0,inner_seed_repeats_stably,dio_14xc:LONG: innere Lesung wiederholt sich stabil als inner_trust_seed; Konsequenzsumme=9.000000.,True
dio_173s:SHORT,passive_inner_memory_reorganizing,3,"basis,followup1,followup2",probe15,"inner_reorganization_seed,inner_trust_seed",SHORT,3,0.811962125,0.816813667,9.0,inner_seed_reorganizes,"dio_173s:SHORT: innere Lesung reorganisiert sich (inner_reorganization_seed,inner_trust_seed); diese Spur bleibt entwickelnd.",True
dio_04zi:LONG,passive_inner_memory_stable,2,"basis,followup1",probe16,inner_carefulness_seed,LONG,2,0.737970375,0.730839667,-4.0,inner_seed_repeats_stably,dio_04zi:LONG: innere Lesung wiederholt sich stabil als inner_carefulness_seed; Konsequenzsumme=-4.000000.,True
dio_1qig:LONG,passive_inner_memory_stable,2,"basis,followup1",probe16,inner_carefulness_seed,LONG,2,0.762543437,0.752622,-4.0,inner_seed_repeats_stably,dio_1qig:LONG: innere Lesung wiederholt sich stabil als inner_carefulness_seed; Konsequenzsumme=-4.000000.,True
dio_1w4m:LONG,passive_inner_memory_stable,2,"basis,followup1",probe16,inner_carefulness_seed,LONG,2,0.886422438,0.913190833,-4.0,inner_seed_repeats_stably,dio_1w4m:LONG: innere Lesung wiederholt sich stabil als inner_carefulness_seed; Konsequenzsumme=-4.000000.,True
dio_0izw:SHORT,passive_inner_memory_local,1,basis,probe15,inner_reorganization_seed,SHORT,1,0.884336312,0.9442415,3.0,inner_seed_local,dio_0izw:SHORT: innere Lesung ist lokal (inner_reorganization_seed); noch keine stabile Wiederkehr.,True
dio_15ms:SHORT,passive_inner_memory_local,1,basis,probe15,inner_reorganization_seed,SHORT,1,0.787475125,0.84984,-3.0,inner_seed_local,dio_15ms:SHORT: innere Lesung ist lokal (inner_reorganization_seed); noch keine stabile Wiederkehr.,True
dio_1vjg:LONG,passive_inner_memory_local,1,followup1,probe16,inner_carefulness_seed,LONG,1,0.78529625,0.797495167,-1.0,inner_seed_local,dio_1vjg:LONG: innere Lesung ist lokal (inner_carefulness_seed); noch keine stabile Wiederkehr.,True
