inner_maturity_seed,map_count,map_labels,source_labels,family_count,families,actions,trace_count,avg_similarity,avg_mcm_similarity,real_reward_sum,seed_stability,passive_only
inner_trust_seed,3,"basis,followup1,followup2","probe15,probe18",2,"dio_14xc:LONG,dio_173s:SHORT","LONG,SHORT",5,0.8049146,0.832831967,15.0,seed_repeats_across_maps,True
inner_carefulness_seed,2,"basis,followup1",probe16,4,"dio_04zi:LONG,dio_1qig:LONG,dio_1vjg:LONG,dio_1w4m:LONG",LONG,7,0.794166964,0.798685738,-13.0,seed_repeats_across_maps,True
inner_reorganization_seed,1,basis,probe15,3,"dio_0izw:SHORT,dio_15ms:SHORT,dio_173s:SHORT",SHORT,3,0.827924521,0.870298389,3.0,seed_local_to_one_map,True
