run,tick,timestamp_ms,symbol_family,maturation_state,moment_state,binding_state,inner_state,contact_state,action,outcome_event,sight_state,hearing_state,feeling_state,reward,event_reward,maturation_reward_sum,timeline_sentence,passive_only
153,1,1767600300000000,dio_1u7v,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,1.0,1.0,3.0,dio_1u7v: run=153 tick=1; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=SHORT; reward=1.000000.,1
153,6,1767601800000000,dio_0arw,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_teilform,hoeren_leise,fuehlen_offen,1.0,1.0,3.0,dio_0arw: run=153 tick=6; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
153,11,1767603300000000,dio_14xc,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_14xc: run=153 tick=11; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
153,12,1767603600000000,dio_1vpi,maturation_mixed_recurrence,moment_quiet_held,multisensory_quiet_hold,inner_consequence_quiet,held_impulse_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,0.0,0.0,1.0,dio_1vpi: run=153 tick=12; moment_quiet_held; Reife=maturation_mixed_recurrence; Bindung=multisensory_quiet_hold; Aktion=WAIT; reward=0.000000.,1
153,13,1767603900000000,dio_00qb,maturation_quiet_observation,moment_quiet_held,multisensory_quiet_hold,inner_consequence_quiet,held_impulse_without_action,WAIT,NO_TRADE,sehen_teilform,hoeren_mittlere_spannung,fuehlen_offen,0.0,0.0,0.0,dio_00qb: run=153 tick=13; moment_quiet_held; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_hold; Aktion=WAIT; reward=0.000000.,1
153,14,1767604200000000,dio_0t0v,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_inkoharent,1.0,1.0,2.0,dio_0t0v: run=153 tick=14; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
154,1,1767600300000000,dio_1u7v,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,1.0,1.0,3.0,dio_1u7v: run=154 tick=1; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=SHORT; reward=1.000000.,1
154,6,1767601800000000,dio_0arw,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_teilform,hoeren_leise,fuehlen_offen,1.0,1.0,3.0,dio_0arw: run=154 tick=6; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
154,11,1767603300000000,dio_14xc,maturation_quiet_observation,moment_quiet_held,multisensory_quiet_hold,inner_consequence_quiet,held_impulse_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_14xc: run=154 tick=11; moment_quiet_held; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_hold; Aktion=WAIT; reward=0.000000.,1
154,12,1767603600000000,dio_1vpi,maturation_mixed_recurrence,moment_quiet_held,multisensory_quiet_hold,inner_consequence_quiet,held_impulse_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,0.0,0.0,1.0,dio_1vpi: run=154 tick=12; moment_quiet_held; Reife=maturation_mixed_recurrence; Bindung=multisensory_quiet_hold; Aktion=WAIT; reward=0.000000.,1
154,13,1767603900000000,dio_00qb,maturation_quiet_observation,moment_quiet_held,multisensory_quiet_hold,inner_consequence_quiet,held_impulse_without_action,WAIT,NO_TRADE,sehen_teilform,hoeren_mittlere_spannung,fuehlen_offen,0.0,0.0,0.0,dio_00qb: run=154 tick=13; moment_quiet_held; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_hold; Aktion=WAIT; reward=0.000000.,1
154,14,1767604200000000,dio_0t0v,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_inkoharent,1.0,1.0,2.0,dio_0t0v: run=154 tick=14; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
155,1,1767600300000000,dio_1u7v,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,1.0,1.0,3.0,dio_1u7v: run=155 tick=1; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=SHORT; reward=1.000000.,1
155,6,1767601800000000,dio_0arw,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_teilform,hoeren_leise,fuehlen_offen,1.0,1.0,3.0,dio_0arw: run=155 tick=6; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
155,11,1767603300000000,dio_14xc,maturation_quiet_observation,moment_quiet_held,multisensory_quiet_hold,inner_consequence_quiet,held_impulse_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_14xc: run=155 tick=11; moment_quiet_held; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_hold; Aktion=WAIT; reward=0.000000.,1
155,12,1767603600000000,dio_1vpi,maturation_mixed_recurrence,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,1.0,1.0,1.0,dio_1vpi: run=155 tick=12; moment_carried; Reife=maturation_mixed_recurrence; Bindung=multisensory_carried_contact; Aktion=SHORT; reward=1.000000.,1
155,17,1767605100000000,dio_02qu,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_teilform,hoeren_mittlere_spannung,fuehlen_offen,1.0,1.0,1.0,dio_02qu: run=155 tick=17; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
