inner_landkarte_state,family_count,row_count,reward_sum,identical_repeat_families,families
inner_map_quiet_stable_identical_repeat,1,3,0.0,1,dio_14xc
inner_map_trust_stable_identical_repeat,4,12,12.0,4,"dio_02qu,dio_0arw,dio_1u7v,dio_1vpi"
