family,local_action,local_confirmation,state,confirmation_label,runs,rows,executed_long,executed_short,best_long,best_short,reward_sum,observation_learning_events,avg_observation_pressure,best_support_family,best_support_action,best_support_score,support_matches_local,best_conflict_family,best_conflict_actions,best_conflict_score
dio_052z,LONG,0.531942,locally_confirmed,executed_local_confirmation,"15,16,17,18",4,2,0,4,0,2.162886,2,0.064815,dio_0byw,LONG,1.18206,1,dio_0n4c,LONG/SHORT,1.014524
dio_0nv8,SHORT,0.465048,locally_confirmed,executed_local_confirmation,"15,16,17",3,0,1,0,3,1.826216,2,0.03114,dio_0vyd,SHORT,0.971932,1,dio_01nf,SHORT/LONG,0.958927
dio_0fp8,SHORT,0.367451,locally_confirmed,executed_local_confirmation,"15,16,17,18",4,0,1,0,4,0.796759,3,0.037572,dio_0lt6,SHORT,1.011128,1,dio_0irs,SHORT/LONG,0.557167
dio_18iw,SHORT,0.229016,observed_related,observed_related_potential,"15,16,18",3,0,0,0,3,0.0,3,0.050089,dio_0309,SHORT,0.750781,1,dio_1j78,SHORT/LONG,0.985895
dio_1ml8,LONG,0.22749,observed_related,observed_related_potential,"15,16",2,0,0,2,0,0.0,2,0.041612,dio_081d,LONG,0.931321,1,dio_1144,LONG/SHORT,0.902951
dio_0rh0,SHORT,0.227477,observed_related,observed_related_potential,"15,16,17,18",4,0,0,0,4,0.0,4,0.041539,dio_0lt6,SHORT,0.830447,1,dio_1ieq,SHORT/LONG,0.844794
dio_07yj,LONG,0.227082,observed_related,observed_related_potential,"15,16",2,0,0,2,0,0.0,2,0.039344,dio_1tki,LONG,0.914393,1,dio_13wt,LONG/SHORT,0.869093
dio_0b0d,SHORT,0.227007,observed_related,observed_related_potential,"15,16",2,0,0,0,2,0.0,2,0.03893,dio_0av4,SHORT,0.805175,1,dio_1uez,SHORT/LONG,0.744207
dio_0rgr,LONG,0.22662,observed_related,observed_related_potential,"15,16",2,0,0,2,0,0.0,2,0.036779,dio_1rka,LONG,0.953992,1,dio_1144,LONG/SHORT,0.574032
dio_0wsj,LONG,0.226565,observed_related,observed_related_potential,"15,16",2,0,0,2,0,0.0,2,0.036471,dio_01nf,LONG,0.983772,1,dio_0vyd,LONG/SHORT,0.940264
dio_1ieq,LONG,0.226549,observed_related,observed_related_potential,"15,16,17,18",4,0,0,4,0,0.0,4,0.036384,dio_0oio,LONG,0.88871,1,dio_0rh0,LONG/SHORT,0.844794
dio_0ifl,SHORT,0.226393,observed_related,observed_related_potential,17,1,0,0,0,1,0.0,1,0.035515,dio_0i5m,SHORT,1.000553,1,dio_01nf,SHORT/LONG,0.953949
dio_1iuq,SHORT,0.225937,observed_related,observed_related_potential,"15,16,18",3,0,0,0,3,0.0,3,0.032983,dio_0av4,SHORT,0.797673,1,dio_07mf,SHORT/LONG,0.942246
dio_0i5m,SHORT,0.225566,observed_related,observed_related_potential,"15,16",2,0,0,0,2,0.0,2,0.030922,dio_0ifl,SHORT,1.000553,1,dio_01nf,SHORT/LONG,0.952402
dio_1bzs,SHORT,0.225145,observed_related,observed_related_potential,"15,16,17",3,0,0,0,3,0.0,3,0.028583,dio_14zx,SHORT,0.948968,1,dio_1uez,SHORT/LONG,0.68771
dio_0av4,SHORT,0.224788,observed_related,observed_related_potential,"15,16,18",3,0,0,0,3,0.0,3,0.026599,dio_0b0d,SHORT,0.805175,1,dio_07mf,SHORT/LONG,0.639418
dio_1ll4,-,0.0,local_only,unconfirmed,"15,16,17,18",4,0,0,0,0,0.0,0,0.0,-,-,0.0,0,-,-,0.0
