left_family,right_family,left_episodes,right_episodes,left_reife_state,right_reife_state,reife_state_relation,left_neuro_tone,right_neuro_tone,neuro_tone_relation,left_action,right_action,action_relation,sense_distance,sense_similarity,mcm_distance,mcm_similarity,hearing_distance,hearing_similarity,temporal_distance,temporal_similarity,neuro_distance,neuro_similarity,reflection_distance,reflection_similarity,reife_distance,reife_similarity,meaning_distance,meaning_similarity,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,neighbor_state,dio_neighbor_sentence
dio_0mk6,dio_17ny,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.002237,0.99996,0.001018,0.999992,0.005125,0.99979,0.0,1.0,0.000387,0.999999,0.000114,1.0,0.0,1.0,0.001439,0.999983,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0mk6+dio_17ny: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1n7v,dio_1obx,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.002681,0.999943,0.001692,0.999977,0.004927,0.999806,0.0,1.0,0.000141,1.0,0.000132,1.0,0.0,1.0,0.001637,0.999979,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1n7v+dio_1obx: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_19js,dio_0wvp,4,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.003794,0.999885,0.001418,0.999984,0.010801,0.999068,0.0,1.0,0.000164,1.0,0.000153,1.0,0.0,1.0,0.002554,0.999948,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_19js+dio_0wvp: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0e0d,dio_1s87,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.005447,0.999763,0.001897,0.999971,0.007237,0.999581,0.0,1.0,0.000791,0.999995,0.000309,0.999999,0.0,1.0,0.002728,0.99994,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0e0d+dio_1s87: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0liz,dio_1935,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.006701,0.999641,0.00437,0.999847,0.004667,0.999826,0.0,1.0,0.001073,0.999991,0.000495,0.999998,0.0,1.0,0.003319,0.999912,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0liz+dio_1935: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_06ab,dio_0qr6,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.006329,0.99968,0.005471,0.999761,0.004193,0.999859,0.0,1.0,0.000774,0.999995,0.000349,0.999999,0.0,1.0,0.003362,0.99991,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_06ab+dio_0qr6: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_15s8,dio_1efa,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.004802,0.999816,0.003379,0.999909,0.012499,0.998752,0.0,1.0,0.000702,0.999996,0.000221,1.0,0.0,1.0,0.003512,0.999901,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_15s8+dio_1efa: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_06v3,dio_0fa9,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.00575,0.999736,0.004749,0.99982,0.00742,0.99956,0.0,1.0,0.001505,0.999982,0.000164,1.0,0.0,1.0,0.003539,0.9999,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_06v3+dio_0fa9: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0liz,dio_14eb,4,4,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.007096,0.999597,0.006034,0.999709,0.003678,0.999892,0.0,1.0,0.001531,0.999981,0.000592,0.999997,0.0,1.0,0.003734,0.999888,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0liz+dio_14eb: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1958,dio_0xkp,4,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.005961,0.999716,0.003841,0.999882,0.011505,0.998942,0.0,1.0,0.00048,0.999998,0.000445,0.999998,0.0,1.0,0.003759,0.999887,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1958+dio_0xkp: gleiche passive Bedeutungsinsel, ohne Handlung."
