variant_reife_state,count,event_reward_sum,variant_count,episode_count,variants,family_actions
variant_local_wait_context,10,0.0,2,30,"probe14_f2,probe17_f3","probe14_f2:dio_0989:WAIT,probe14_f2:dio_0b66:WAIT,probe14_f2:dio_0gmg:WAIT,probe14_f2:dio_0qze:WAIT,probe14_f2:dio_1guc:WAIT,probe14_f2:dio_1t1w:WAIT,probe17_f3:dio_0120:WAIT,probe17_f3:dio_10dk:WAIT,probe17_f3:dio_1d1z:WAIT,probe17_f3:dio_1f9y:WAIT"
variant_related_observation_trace,6,0.0,2,18,"probe14_f2,probe17_f3","probe14_f2:dio_173s:WAIT,probe14_f2:dio_1rv1:WAIT,probe17_f3:dio_143d:WAIT,probe17_f3:dio_1c6b:WAIT,probe17_f3:dio_1d3r:WAIT,probe17_f3:dio_1m4n:WAIT"
variant_self_carried_action_trace,4,12.0,2,12,"probe14_f2,probe17_f3","probe14_f2:dio_0hd3:SHORT,probe14_f2:dio_0szn:SHORT,probe17_f3:dio_0n9e:LONG,probe17_f3:dio_1k7y:LONG"
