compare_label,compare_state,count,reward_delta,episode_delta,families
probe14_f1_to_f2,same_variant_state,10,0.0,0,"dio_0989:WAIT,dio_0b66:WAIT,dio_0gmg:WAIT,dio_0hd3:SHORT,dio_0qze:WAIT,dio_0szn:SHORT,dio_173s:WAIT,dio_1guc:WAIT,dio_1rv1:WAIT,dio_1t1w:WAIT"
probe17_f2_to_f3,same_variant_state,10,0.0,0,"dio_0120:WAIT,dio_0n9e:LONG,dio_10dk:WAIT,dio_143d:WAIT,dio_1c6b:WAIT,dio_1d1z:WAIT,dio_1d3r:WAIT,dio_1f9y:WAIT,dio_1k7y:LONG,dio_1m4n:WAIT"
