transition,text_island_symbol,lupe_category,was_present_before,left_inner_map_state,right_inner_map_state,left_maturity_state,right_maturity_state,semantic_maturity_score,semantic_maturity_delta,stability_pressure,variation_bearing,drift_pressure,family_count,families,inner_map_note,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
G_ONLY->G_H,dio_text_1qox452,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_movement_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.386205867,0.1795392,0.3587328,0.454482347,0.0,5,dio_005q|dio_0zq7|dio_1fzx|dio_1j58|dio_1qd9,"dio_text_1qox452: inner_unconfirmed_movement_space; score=0.386; stable=0.359; var=0.454; passiv, keine Handlung.",True,False,False,False,False,False,False,False
G_ONLY->G_H,dio_text_1j0fpv7,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_movement_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.3768678,0.170201133,0.35138645,0.45074712,0.0,4,dio_0325|dio_10qz|dio_114i|dio_1ytc,"dio_text_1j0fpv7: inner_unconfirmed_movement_space; score=0.377; stable=0.351; var=0.451; passiv, keine Handlung.",True,False,False,False,False,False,False,False
G_ONLY->G_H,dio_text_axk913,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.28,0.0,0.55,0.112,0.0,14,dio_01w7|dio_07bo|dio_0bkt|dio_0j6l|dio_0o73|dio_14eb|dio_16qb|dio_17ud|dio_19rg|dio_1f9y|dio_1fbp|dio_1ka9|dio_1mrs|dio_1nvu,"dio_text_axk913: inner_unconfirmed_raw_space; score=0.280; stable=0.550; var=0.112; passiv, keine Handlung.",True,False,False,False,False,False,False,False
G_ONLY->G_H,dio_text_1rm15nd,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.26,0.0,0.55,0.104,0.0,9,dio_00fq|dio_05k3|dio_06e2|dio_0lx3|dio_0vu0|dio_0wnz|dio_1del|dio_1pvx|dio_1yai,"dio_text_1rm15nd: inner_unconfirmed_raw_space; score=0.260; stable=0.550; var=0.104; passiv, keine Handlung.",True,False,False,False,False,False,False,False
G_ONLY->G_H,dio_text_1vfcwaq,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.246666667,0.0,0.55,0.098666667,0.0,7,dio_09u3|dio_0jfb|dio_0nyz|dio_0o3g|dio_0uzt|dio_1ldu|dio_1tj7,"dio_text_1vfcwaq: inner_unconfirmed_raw_space; score=0.247; stable=0.550; var=0.099; passiv, keine Handlung.",True,False,False,False,False,False,False,False
G_ONLY->G_H,dio_text_11gnkh6,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.226666667,0.0,0.55,0.090666667,0.0,4,dio_0t1p|dio_12dn|dio_130c|dio_13hp,"dio_text_11gnkh6: inner_unconfirmed_raw_space; score=0.227; stable=0.550; var=0.091; passiv, keine Handlung.",True,False,False,False,False,False,False,False
G_ONLY->G_H,dio_text_g8vqvy,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.226666667,0.0,0.55,0.090666667,0.0,4,dio_0hd3|dio_0w16|dio_13di|dio_1mhq,"dio_text_g8vqvy: inner_unconfirmed_raw_space; score=0.227; stable=0.550; var=0.091; passiv, keine Handlung.",True,False,False,False,False,False,False,False
G_ONLY->G_H,dio_text_jd2fli,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.226666667,0.0,0.55,0.090666667,0.0,4,dio_002s|dio_1001|dio_11bp|dio_15r6,"dio_text_jd2fli: inner_unconfirmed_raw_space; score=0.227; stable=0.550; var=0.091; passiv, keine Handlung.",True,False,False,False,False,False,False,False
G_ONLY->G_H,dio_text_1i3utdl,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.22,0.0,0.55,0.088,0.0,3,dio_0r5x|dio_1eas|dio_1pen,"dio_text_1i3utdl: inner_unconfirmed_raw_space; score=0.220; stable=0.550; var=0.088; passiv, keine Handlung.",True,False,False,False,False,False,False,False
G_ONLY->G_H,dio_text_1q4ywyr,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.22,0.0,0.55,0.088,0.0,3,dio_0p55|dio_15lu|dio_1nuj,"dio_text_1q4ywyr: inner_unconfirmed_raw_space; score=0.220; stable=0.550; var=0.088; passiv, keine Handlung.",True,False,False,False,False,False,False,False
G_ONLY->G_H,dio_text_1ykyzez,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.22,0.0,0.55,0.088,0.0,3,dio_0xn0|dio_12im|dio_19uu,"dio_text_1ykyzez: inner_unconfirmed_raw_space; score=0.220; stable=0.550; var=0.088; passiv, keine Handlung.",True,False,False,False,False,False,False,False
G_ONLY->G_H,dio_text_2ky1th,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.22,0.0,0.55,0.088,0.0,3,dio_09xu|dio_13cn|dio_1m6t,"dio_text_2ky1th: inner_unconfirmed_raw_space; score=0.220; stable=0.550; var=0.088; passiv, keine Handlung.",True,False,False,False,False,False,False,False
G_ONLY->G_H,dio_text_eerx7v,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.22,0.0,0.55,0.088,0.0,3,dio_0fsw|dio_1lno|dio_1omn,"dio_text_eerx7v: inner_unconfirmed_raw_space; score=0.220; stable=0.550; var=0.088; passiv, keine Handlung.",True,False,False,False,False,False,False,False
G_ONLY->G_H,dio_text_kfmtcz,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.22,0.0,0.55,0.088,0.0,3,dio_0mod|dio_0uxe|dio_1215,"dio_text_kfmtcz: inner_unconfirmed_raw_space; score=0.220; stable=0.550; var=0.088; passiv, keine Handlung.",True,False,False,False,False,False,False,False
G_ONLY->G_H,dio_text_uovrte,carried_raw_space,True,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,new_unconfirmed_text_island,new_unconfirmed_text_island,0.22,0.0,0.55,0.088,0.0,3,dio_13ek|dio_13p1|dio_1ing,"dio_text_uovrte: inner_unconfirmed_raw_space; score=0.220; stable=0.550; var=0.088; passiv, keine Handlung.",True,False,False,False,False,False,False,False
