stage_order,stage_label,source_path,text_island_count,stable_core_count,stable_core_ratio,soft_variation_count,soft_variation_ratio,drift_watch_count,drift_watch_ratio,raw_space_count,raw_space_ratio,avg_semantic_maturity_score,avg_stability_pressure,avg_variation_bearing,avg_drift_pressure,dominant_inner_state,dominant_maturity_state,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
1,G_ONLY,debug\dio_mini_passive_text_island_inner_map_G_only_anchor_check_20260607_v1\passive_text_island_inner_map.csv,170,0,0.0,0,0.0,0,0.0,170,1.0,0.210352941,0.55,0.084141177,0.0,inner_unconfirmed_raw_space,new_unconfirmed_text_island,True,False,False,False,False,False,False,False
2,G_H,debug\dio_mini_passive_text_island_inner_map_G_H_check_20260607_v1\passive_text_island_inner_map.csv,328,19,0.057926829,11,0.033536585,7,0.021341463,291,0.887195122,0.234927737,0.559270279,0.112263778,0.010670732,inner_unconfirmed_raw_space,new_unconfirmed_text_island,True,False,False,False,False,False,False,False
