source_label,run,tick,timestamp_ms,symbol,symbol_family,family_action,action,raw_action,outcome_event,phase_time_state,episode_relation,phase_active,phase_age,finite_phase_age,phase_distance,episode_binding_pressure,episode_release_pressure,bars_held,event_reward,reward,best_action_training,sehen_form_flow,hoeren_energy_tone,fuehlen_mcm_coherence,passive_only,influences_action,is_gate,is_motoric,time_sentence
basis,159,1,1767480300000000,dio_0cgnxn5,dio_0cgn,dio_0cgn:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,0.05444,0.055143,0.98456,1,0,0,0,basis run=159 tick=1: dio_0cgn WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
basis,159,2,1767480600000000,dio_0x52rrz,dio_0x52,dio_0x52:SHORT,SHORT,SHORT,SL,no_prior_phase,none,0,9999,,1.0,0.0,1.0,1,-1.0,-1.0,LONG,0.146987,0.133722,0.962558,1,0,0,0,basis run=159 tick=2: dio_0x52 SHORT/SL; Zeitspur=no_prior_phase; reward=-1.000000.
basis,159,7,1767482100000000,dio_15ms14o,dio_15ms,dio_15ms:WAIT,WAIT,SHORT,NO_TRADE,active_afterimage_contact,same_episode,1,5,5,0.42505,0.490622,0.144679,0,0.0,0.0,SHORT,0.302961,-0.02905,0.391866,1,0,0,0,basis run=159 tick=7: dio_15ms WAIT/NO_TRADE; Zeitspur=active_afterimage_contact; reward=0.000000.
basis,159,8,1767482400000000,dio_0izwfm7,dio_0izw,dio_0izw:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,6,6,0.565675,0.0,1.0,0,0.0,0.0,SHORT,-0.140128,0.056456,-0.215808,1,0,0,0,basis run=159 tick=8: dio_0izw WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
basis,159,9,1767482700000000,dio_07rfl5q,dio_07rf,dio_07rf:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,7,7,0.466567,0.0,1.0,0,0.0,0.0,LONG,-0.639125,0.132211,0.362981,1,0,0,0,basis run=159 tick=9: dio_07rf WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
basis,159,10,1767483000000000,dio_1pfo7u4,dio_1pfo,dio_1pfo:WAIT,WAIT,WAIT,NO_TRADE,separated_observation_contact,none,0,8,8,0.361146,0.0,1.0,0,0.0,0.0,LONG,-0.958963,-0.011519,0.996775,1,0,0,0,basis run=159 tick=10: dio_1pfo WAIT/NO_TRADE; Zeitspur=separated_observation_contact; reward=0.000000.
basis,159,11,1767483300000000,dio_1mx2l9m,dio_1mx2,dio_1mx2:WAIT,WAIT,WAIT,NO_TRADE,separated_observation_contact,none,0,9,9,0.347527,0.0,1.0,0,0.0,0.0,LONG,-0.823245,-0.122876,0.965595,1,0,0,0,basis run=159 tick=11: dio_1mx2 WAIT/NO_TRADE; Zeitspur=separated_observation_contact; reward=0.000000.
basis,159,12,1767483600000000,dio_173sbgr,dio_173s,dio_173s:WAIT,WAIT,WAIT,NO_TRADE,separated_observation_contact,none,0,10,10,0.512307,0.0,1.0,0,0.0,0.0,SHORT,-0.47548,-0.190469,0.346669,1,0,0,0,basis run=159 tick=12: dio_173s WAIT/NO_TRADE; Zeitspur=separated_observation_contact; reward=0.000000.
basis,159,13,1767483900000000,dio_1g18jad,dio_1g18,dio_1g18:SHORT,SHORT,SHORT,TP,executed_temporal_contact,none,0,11,11,0.531949,0.0,1.0,3,1.0,1.0,SHORT,0.005433,-0.12741,-0.235675,1,0,0,0,basis run=159 tick=13: dio_1g18 SHORT/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
basis,159,18,1767485400000000,dio_0gmg3at,dio_0gmg,dio_0gmg:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,5,5,0.51755,0.0,1.0,0,0.0,0.0,LONG,-0.758808,-0.206849,0.342082,1,0,0,0,basis run=159 tick=18: dio_0gmg WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
basis,160,1,1767480300000000,dio_0cgnxn5,dio_0cgn,dio_0cgn:WAIT,WAIT,WAIT,NO_TRADE,no_prior_phase,none,0,9999,,1.0,0.0,1.0,0,0.0,0.0,LONG,0.05444,0.055143,0.98456,1,0,0,0,basis run=160 tick=1: dio_0cgn WAIT/NO_TRADE; Zeitspur=no_prior_phase; reward=0.000000.
