family_action,symbol_family,action,freshness_state,source_count,source_labels,run_count,episode_count,first_source,last_source,first_tick,last_tick,tick_span,phase_time_states,outcome_events,phase_active_count,avg_finite_phase_age,avg_bars_held,event_reward_sum,avg_event_reward,avg_phase_distance,avg_binding_pressure,avg_release_pressure,passive_only,influences_action,is_gate,is_motoric,time_summary_sentence
dio_1g18:SHORT,dio_1g18,SHORT,fresh_recurrent_episode_trace,4,"basis,followup1,followup2,followup3",12,12,basis,followup3,13,13,0,executed_temporal_contact:12,TP:12,0,8.75,3.0,12.0,1.0,0.636199,0.0,1.0,1,0,0,0,"dio_1g18:SHORT: fresh_recurrent_episode_trace; Quellen=basis,followup1,followup2,followup3; Episoden=12; Outcome=TP:12; RewardSumme=12.000000."
dio_0cgn:WAIT,dio_0cgn,WAIT,fresh_recurrent_episode_trace,4,"basis,followup1,followup2,followup3",12,12,basis,followup3,1,1,0,no_prior_phase:12,NO_TRADE:12,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,"dio_0cgn:WAIT: fresh_recurrent_episode_trace; Quellen=basis,followup1,followup2,followup3; Episoden=12; Outcome=NO_TRADE:12; RewardSumme=0.000000."
dio_0gmg:WAIT,dio_0gmg,WAIT,fresh_recurrent_episode_trace,4,"basis,followup1,followup2,followup3",12,12,basis,followup3,18,18,0,different_contact_afterimage:12,NO_TRADE:12,0,5.0,,0.0,0.0,0.51755,0.0,1.0,1,0,0,0,"dio_0gmg:WAIT: fresh_recurrent_episode_trace; Quellen=basis,followup1,followup2,followup3; Episoden=12; Outcome=NO_TRADE:12; RewardSumme=0.000000."
dio_173s:WAIT,dio_173s,WAIT,fresh_recurrent_episode_trace,4,"basis,followup1,followup2,followup3",12,12,basis,followup3,12,12,0,different_contact_afterimage:9|separated_observation_contact:3,NO_TRADE:12,0,7.75,,0.0,0.0,0.569366,0.0,1.0,1,0,0,0,"dio_173s:WAIT: fresh_recurrent_episode_trace; Quellen=basis,followup1,followup2,followup3; Episoden=12; Outcome=NO_TRADE:12; RewardSumme=0.000000."
dio_1mx2:WAIT,dio_1mx2,WAIT,fresh_recurrent_episode_trace,4,"basis,followup1,followup2,followup3",12,12,basis,followup3,11,11,0,different_contact_afterimage:9|separated_observation_contact:3,NO_TRADE:12,0,6.75,,0.0,0.0,0.40498,0.0,1.0,1,0,0,0,"dio_1mx2:WAIT: fresh_recurrent_episode_trace; Quellen=basis,followup1,followup2,followup3; Episoden=12; Outcome=NO_TRADE:12; RewardSumme=0.000000."
dio_1pfo:WAIT,dio_1pfo,WAIT,fresh_recurrent_episode_trace,4,"basis,followup1,followup2,followup3",12,12,basis,followup3,10,10,0,different_contact_afterimage:9|separated_observation_contact:3,NO_TRADE:12,0,5.75,,0.0,0.0,0.418598,0.0,1.0,1,0,0,0,"dio_1pfo:WAIT: fresh_recurrent_episode_trace; Quellen=basis,followup1,followup2,followup3; Episoden=12; Outcome=NO_TRADE:12; RewardSumme=0.000000."
dio_0u1i:SHORT,dio_0u1i,SHORT,fresh_recurrent_episode_trace,3,"followup1,followup2,followup3",9,9,followup1,followup3,5,5,0,no_prior_phase:9,TP:9,0,,3.0,9.0,1.0,1.0,0.0,1.0,1,0,0,0,"dio_0u1i:SHORT: fresh_recurrent_episode_trace; Quellen=followup1,followup2,followup3; Episoden=9; Outcome=TP:9; RewardSumme=9.000000."
dio_0x52:WAIT,dio_0x52,WAIT,fresh_recurrent_episode_trace,3,"followup1,followup2,followup3",9,9,followup1,followup3,2,2,0,no_prior_phase:9,NO_TRADE:9,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,"dio_0x52:WAIT: fresh_recurrent_episode_trace; Quellen=followup1,followup2,followup3; Episoden=9; Outcome=NO_TRADE:9; RewardSumme=0.000000."
dio_199c:WAIT,dio_199c,WAIT,fresh_recurrent_episode_trace,3,"followup1,followup2,followup3",9,9,followup1,followup3,4,4,0,no_prior_phase:9,NO_TRADE:9,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,"dio_199c:WAIT: fresh_recurrent_episode_trace; Quellen=followup1,followup2,followup3; Episoden=9; Outcome=NO_TRADE:9; RewardSumme=0.000000."
dio_1guc:WAIT,dio_1guc,WAIT,fresh_recurrent_episode_trace,3,"followup1,followup2,followup3",9,9,followup1,followup3,3,3,0,no_prior_phase:9,NO_TRADE:9,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,"dio_1guc:WAIT: fresh_recurrent_episode_trace; Quellen=followup1,followup2,followup3; Episoden=9; Outcome=NO_TRADE:9; RewardSumme=0.000000."
dio_07rf:WAIT,dio_07rf,WAIT,older_local_episode_trace,1,basis,3,3,basis,basis,9,9,0,different_contact_afterimage:3,NO_TRADE:3,0,7.0,,0.0,0.0,0.466567,0.0,1.0,1,0,0,0,dio_07rf:WAIT: older_local_episode_trace; Quellen=basis; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0izw:WAIT,dio_0izw,WAIT,older_local_episode_trace,1,basis,3,3,basis,basis,8,8,0,different_contact_afterimage:3,NO_TRADE:3,0,6.0,,0.0,0.0,0.565675,0.0,1.0,1,0,0,0,dio_0izw:WAIT: older_local_episode_trace; Quellen=basis; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_15ms:WAIT,dio_15ms,WAIT,older_local_episode_trace,1,basis,3,3,basis,basis,7,7,0,active_afterimage_contact:3,NO_TRADE:3,3,5.0,,0.0,0.0,0.42505,0.490622,0.144611,1,0,0,0,dio_15ms:WAIT: older_local_episode_trace; Quellen=basis; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
