symbol_family,passive_inner_awareness_state,count,wait_count,trade_count,withheld_best_trade_count,tp_count,sl_count,reward_sum,avg_reward,avg_best_reward,actions,best_actions,runs,debug_roots,debug_root_count,passive_only,influences_action
dio_1guc,inner_overcautious_carrying_pressure,8,8,0,8,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world|debug\dio_mini_inner_awareness_trace_probe13_with_world|debug\dio_mini_inner_awareness_trace_probe14_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,4,True,False
dio_0cgn,inner_context_dependent_withholding,6,6,0,6,0,0,0.0,0.0,1.0,WAIT,LONG|SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world|debug\dio_mini_inner_awareness_trace_probe16_with_world,3,True,False
dio_0hd3,inner_overcautious_carrying_pressure,6,6,0,6,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world|debug\dio_mini_inner_awareness_trace_probe14_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,3,True,False
dio_0u1i,inner_action_withholding_split,6,6,0,6,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world|debug\dio_mini_inner_awareness_trace_probe13_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,3,True,False
dio_12jm,inner_overcautious_carrying_pressure,6,6,0,6,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world|debug\dio_mini_inner_awareness_trace_probe14_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,3,True,False
dio_14jl,inner_cautious_potential,6,6,0,6,0,0,0.0,0.0,0.720537,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world|debug\dio_mini_inner_awareness_trace_probe14_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,3,True,False
dio_0120,inner_action_trust_seed,4,4,0,4,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world|debug\dio_mini_inner_awareness_trace_probe18_with_world,2,True,False
dio_07rf,inner_cautious_potential,4,4,0,4,0,0,0.0,0.0,0.238464,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,2,True,False
dio_0akd,inner_cautious_potential,4,4,0,4,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world|debug\dio_mini_inner_awareness_trace_probe18_with_world,2,True,False
dio_0bmh,unloaded,4,4,0,4,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world|debug\dio_mini_inner_awareness_trace_probe18_with_world,2,True,False
dio_0eh8,inner_overcautious_carrying_pressure,4,4,0,4,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,2,True,False
dio_0gmg,inner_cautious_potential,4,4,0,4,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe14_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,2,True,False
dio_0izw,inner_cautious_potential,4,4,0,4,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,2,True,False
dio_0qze,inner_overcautious_carrying_pressure,4,4,0,4,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world|debug\dio_mini_inner_awareness_trace_probe14_with_world,2,True,False
dio_0szn,inner_cautious_potential,4,4,0,4,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world|debug\dio_mini_inner_awareness_trace_probe14_with_world,2,True,False
dio_0x52,inner_overcautious_carrying_pressure,4,4,0,4,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,2,True,False
dio_14xc,unloaded,4,4,0,4,0,0,0.0,0.0,0.307004,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world|debug\dio_mini_inner_awareness_trace_probe18_with_world,2,True,False
