passive_inner_awareness_state,count,loaded_count,wait_count,long_count,short_count,tp_count,sl_count,no_trade_count,withheld_best_trade_count,acted_with_best_count,acted_against_best_count,reflection_context_carried_count,reflection_context_cautious_count,reflection_context_unloaded_count,reward_sum,avg_reward,avg_best_reward,avg_afterlook,avg_carry,avg_world_carry,family_count,families,runs,debug_roots,debug_root_count,passive_only,influences_action
inner_overcautious_carrying_pressure,94,94,94,0,0,0,0,94,94,0,0,85,9,0,0.0,0.0,0.892002,0.892002,0.287936,0.099769,32,dio_05s4|dio_0989|dio_0avw|dio_0b66|dio_0eh8|dio_0g0p|dio_0gtz|dio_0hd3|dio_0jco|dio_0n45|dio_0qze|dio_0ufv|dio_0x52|dio_0xpt|dio_0y8w|dio_12jm|dio_1361|dio_13zu|dio_14eb|dio_14i8|dio_15ms|dio_199c|dio_1ayy|dio_1guc|dio_1gxl|dio_1jn5|dio_1k8m|dio_1mx2|dio_1pfo|dio_1rv1|dio_1t1w|dio_1wie,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world|debug\dio_mini_inner_awareness_trace_probe13_with_world|debug\dio_mini_inner_awareness_trace_probe14_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,4,True,False
inner_cautious_potential,88,88,88,0,0,0,0,88,88,0,0,2,86,0,0.0,0.0,0.911566,0.913788,0.189018,0.0,35,dio_02qu|dio_04z7|dio_04zi|dio_06bd|dio_07rf|dio_0akd|dio_0be3|dio_0fa9|dio_0fiy|dio_0fzl|dio_0gmg|dio_0izw|dio_0ojr|dio_0rb2|dio_0szn|dio_0u8u|dio_0vc8|dio_10dk|dio_13u8|dio_14jl|dio_16yc|dio_1d1z|dio_1d3r|dio_1d8w|dio_1f4v|dio_1g18|dio_1g2t|dio_1g7l|dio_1jo7|dio_1k7y|dio_1mpo|dio_1q9b|dio_1t73|dio_1uv4|dio_1w4m,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world|debug\dio_mini_inner_awareness_trace_probe13_with_world|debug\dio_mini_inner_awareness_trace_probe14_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world|debug\dio_mini_inner_awareness_trace_probe16_with_world|debug\dio_mini_inner_awareness_trace_probe17_with_world|debug\dio_mini_inner_awareness_trace_probe18_with_world,7,True,False
unloaded,28,0,28,0,0,0,0,28,28,0,0,0,28,0,0.0,0.0,0.901001,0.0,0.0,0.0,12,dio_00qb|dio_040y|dio_0arw|dio_0bmh|dio_0igh|dio_0ofo|dio_0ps1|dio_0t0v|dio_0x1o|dio_14xc|dio_1icz|dio_1mym,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world|debug\dio_mini_inner_awareness_trace_probe18_with_world,2,True,False
inner_open_potential,16,16,16,0,0,0,0,16,16,0,0,4,12,0,0.0,0.0,1.0,1.0,0.208971,0.176471,8,dio_10kx|dio_1c6b|dio_1f9y|dio_1k0r|dio_1qig|dio_1qwp|dio_1txv|dio_1vjg,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world|debug\dio_mini_inner_awareness_trace_probe17_with_world|debug\dio_mini_inner_awareness_trace_probe18_with_world,3,True,False
inner_action_trust_seed,10,10,10,0,0,0,0,10,10,0,0,0,10,0,0.0,0.0,1.0,1.0,0.279014,0.167469,4,dio_0120|dio_0ems|dio_0n9e|dio_1vpi,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world|debug\dio_mini_inner_awareness_trace_probe18_with_world,2,True,False
inner_context_dependent_withholding,10,10,10,0,0,0,0,10,10,0,0,4,6,0,0.0,0.0,1.0,1.0,0.269578,0.05204,2,dio_0cgn|dio_173s,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world|debug\dio_mini_inner_awareness_trace_probe14_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world|debug\dio_mini_inner_awareness_trace_probe16_with_world,4,True,False
inner_action_withholding_split,6,6,6,0,0,0,0,6,6,0,0,6,0,0,0.0,0.0,1.0,1.0,0.290309,0.275784,1,dio_0u1i,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world|debug\dio_mini_inner_awareness_trace_probe13_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,3,True,False
