label,debug_root,family,family_state,dominant_action,episode_count,executed_count,reward_sum,states,actions,passive_sentence
probe18_first,debug\dio_mini_probe18_recovery_variation\run,dio_0arw,carried,WAIT,3,1,1.384854,executed_aligned:1|observed_trade_potential:2,LONG:1|WAIT:2,dio_0arw: wird mit WAIT getragen; Sensorik und Konsequenz liegen zusammen.
probe18_first,debug\dio_mini_probe18_recovery_variation\run,dio_1u7v,carried,WAIT,4,1,0.894392,executed_aligned:1|observed_trade_potential:3,SHORT:1|WAIT:3,dio_1u7v: wird mit WAIT getragen; Sensorik und Konsequenz liegen zusammen.
probe18_first,debug\dio_mini_probe18_recovery_variation\run,dio_14xc,observed,WAIT,3,0,0.0,observed_trade_potential:3,WAIT:3,"dio_14xc: wird gesehen, bleibt als Potenzial ohne Handlung."
probe18_first,debug\dio_mini_probe18_recovery_variation\run,dio_1vpi,conflict,SHORT,3,3,-1.027449,executed_misaligned:3,SHORT:3,"dio_1vpi: erzeugt Handlung, aber die Konsequenz traegt noch nicht."
probe18_first,debug\dio_mini_probe18_recovery_variation\run,dio_0t0v,conflict,SHORT,1,1,-1.236659,executed_misaligned:1,SHORT:1,"dio_0t0v: erzeugt Handlung, aber die Konsequenz traegt noch nicht."
probe18_repeat1,debug\dio_mini_probe18_repeat_same_memory\run,dio_0arw,carried,LONG,4,4,5.539416,executed_aligned:4,LONG:4,dio_0arw: wird mit LONG getragen; Sensorik und Konsequenz liegen zusammen.
probe18_repeat1,debug\dio_mini_probe18_repeat_same_memory\run,dio_1u7v,carried,SHORT,4,4,3.577568,executed_aligned:4,SHORT:4,dio_1u7v: wird mit SHORT getragen; Sensorik und Konsequenz liegen zusammen.
probe18_repeat1,debug\dio_mini_probe18_repeat_same_memory\run,dio_0t0v,observed,WAIT,2,0,0.0,observed_trade_potential:2,WAIT:2,"dio_0t0v: wird gesehen, bleibt als Potenzial ohne Handlung."
probe18_repeat1,debug\dio_mini_probe18_repeat_same_memory\run,dio_14xc,observed,WAIT,4,0,0.0,observed_trade_potential:4,WAIT:4,"dio_14xc: wird gesehen, bleibt als Potenzial ohne Handlung."
probe18_repeat1,debug\dio_mini_probe18_repeat_same_memory\run,dio_1vpi,conflict,SHORT,4,2,-0.684966,executed_misaligned:2|observed_trade_potential:2,SHORT:2|WAIT:2,"dio_1vpi: erzeugt Handlung, aber die Konsequenz traegt noch nicht."
probe18_repeat2,debug\dio_mini_probe18_repeat2_same_memory\run,dio_0arw,carried,LONG,4,4,5.539416,executed_aligned:4,LONG:4,dio_0arw: wird mit LONG getragen; Sensorik und Konsequenz liegen zusammen.
probe18_repeat2,debug\dio_mini_probe18_repeat2_same_memory\run,dio_0t0v,carried,LONG,4,4,4.146636,executed_aligned:4,LONG:4,dio_0t0v: wird mit LONG getragen; Sensorik und Konsequenz liegen zusammen.
probe18_repeat2,debug\dio_mini_probe18_repeat2_same_memory\run,dio_1u7v,carried,SHORT,4,4,3.577568,executed_aligned:4,SHORT:4,dio_1u7v: wird mit SHORT getragen; Sensorik und Konsequenz liegen zusammen.
probe18_repeat2,debug\dio_mini_probe18_repeat2_same_memory\run,dio_14xc,observed,WAIT,4,0,0.0,observed_trade_potential:4,WAIT:4,"dio_14xc: wird gesehen, bleibt als Potenzial ohne Handlung."
probe18_repeat2,debug\dio_mini_probe18_repeat2_same_memory\run,dio_1vpi,observed,WAIT,4,0,0.0,observed_trade_potential:4,WAIT:4,"dio_1vpi: wird gesehen, bleibt als Potenzial ohne Handlung."
