role,symbol_family,episode_count,sources,candidate_passive_reife_state,candidate_meaning_preservation_rate,candidate_stable_recurrence_rate,dominant_neuro_tone,avg_sehen_form_stability,avg_hoeren_energy_shift,avg_fuehlen_mcm_coherence,avg_observation_learning_pressure,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
reference,dio_0x52,2,dio_mini_repro_fresh_probe25_20260606/dio_mini_lauf_1|dio_mini_repro_fresh_probe25_20260606/dio_mini_lauf_2,sinnnah_variantenfaehig,1.0,0.5,focus_tone,1.0,0.242424,0.980237,0.538898,True,False,False,False,False,False,False,False
raw_neighbor,dio_1rv1,2,dio_mini_variant_probe26_fresh_20260606/dio_mini_lauf_1|dio_mini_variant_probe26_fresh_20260606/dio_mini_lauf_2,,0.0,0.0,focus_tone,1.0,0.208955,0.982959,0.540187,True,False,False,False,False,False,False,False
