text_island_symbol,inner_core_state,inner_map_transition_state,right_inner_map_state,right_semantic_maturity_score,score_delta,core_note,left_inner_map_state,left_semantic_maturity_score,stability_delta,variation_delta,drift_delta,left_families,right_families,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_text_1kzmyt,passive_foreign_boundary_core,stable_foreign_boundary,inner_foreign_boundary_space,0.4,0.0,"dio_text_1kzmyt: passive_foreign_boundary_core; right=inner_foreign_boundary_space; score=0.400; passiv, keine Handlung.",inner_foreign_boundary_space,0.4,0.0,0.0,0.0,dio_04is|dio_0e6t|dio_0pcm|dio_0rar|dio_0xwj|dio_0zn1|dio_14k8|dio_1etx|dio_1mhr|dio_1sbp|dio_1t4c|dio_1tfr|dio_1u20,dio_04is|dio_0e6t|dio_0pcm|dio_0rar|dio_0xwj|dio_0zn1|dio_14k8|dio_1etx|dio_1mhr|dio_1sbp|dio_1t4c|dio_1tfr|dio_1u20,True,False,False,False,False,False,False,False
dio_text_111fz7h,passive_foreign_boundary_core,stable_foreign_boundary,inner_foreign_boundary_space,0.393333333,0.0,"dio_text_111fz7h: passive_foreign_boundary_core; right=inner_foreign_boundary_space; score=0.393; passiv, keine Handlung.",inner_foreign_boundary_space,0.393333333,0.0,0.0,0.0,dio_08f8|dio_0d2y|dio_0hfg|dio_0hvo|dio_0ik2|dio_0k5e|dio_0mr9|dio_0w5n|dio_12lr|dio_19ih|dio_1uat,dio_08f8|dio_0d2y|dio_0hfg|dio_0hvo|dio_0ik2|dio_0k5e|dio_0mr9|dio_0w5n|dio_12lr|dio_19ih|dio_1uat,True,False,False,False,False,False,False,False
dio_text_1iwm9qb,passive_foreign_boundary_core,stable_foreign_boundary,inner_foreign_boundary_space,0.38,0.0,"dio_text_1iwm9qb: passive_foreign_boundary_core; right=inner_foreign_boundary_space; score=0.380; passiv, keine Handlung.",inner_foreign_boundary_space,0.38,0.0,0.0,0.0,dio_06z8|dio_0b1j|dio_0tyz|dio_0yqx|dio_15y3|dio_16i3|dio_18vh|dio_19fi|dio_1lj9,dio_06z8|dio_0b1j|dio_0tyz|dio_0yqx|dio_15y3|dio_16i3|dio_18vh|dio_19fi|dio_1lj9,True,False,False,False,False,False,False,False
dio_text_asbma1,passive_foreign_boundary_core,stable_foreign_boundary,inner_foreign_boundary_space,0.38,0.0,"dio_text_asbma1: passive_foreign_boundary_core; right=inner_foreign_boundary_space; score=0.380; passiv, keine Handlung.",inner_foreign_boundary_space,0.38,0.0,0.0,0.0,dio_04yv|dio_05s8|dio_0vaa|dio_0yxr|dio_13le|dio_1d2c|dio_1frv|dio_1j5a|dio_1pul,dio_04yv|dio_05s8|dio_0vaa|dio_0yxr|dio_13le|dio_1d2c|dio_1frv|dio_1j5a|dio_1pul,True,False,False,False,False,False,False,False
dio_text_d0kbfl,passive_foreign_boundary_core,stable_foreign_boundary,inner_foreign_boundary_space,0.38,0.0,"dio_text_d0kbfl: passive_foreign_boundary_core; right=inner_foreign_boundary_space; score=0.380; passiv, keine Handlung.",inner_foreign_boundary_space,0.38,0.0,0.0,0.0,dio_0byk|dio_0gx7|dio_0vt3|dio_0ww9|dio_0xq8|dio_0yez|dio_1fr1|dio_1g11|dio_1ul0,dio_0byk|dio_0gx7|dio_0vt3|dio_0ww9|dio_0xq8|dio_0yez|dio_1fr1|dio_1g11|dio_1ul0,True,False,False,False,False,False,False,False
dio_text_1j78afq,passive_foreign_boundary_core,stable_foreign_boundary,inner_foreign_boundary_space,0.366666667,0.0,"dio_text_1j78afq: passive_foreign_boundary_core; right=inner_foreign_boundary_space; score=0.367; passiv, keine Handlung.",inner_foreign_boundary_space,0.366666667,0.0,0.0,0.0,dio_16ss|dio_1eey|dio_1nt1|dio_1o1w|dio_1pn5|dio_1q11|dio_1y5n,dio_16ss|dio_1eey|dio_1nt1|dio_1o1w|dio_1pn5|dio_1q11|dio_1y5n,True,False,False,False,False,False,False,False
dio_text_1mm9owh,passive_foreign_boundary_core,stable_foreign_boundary,inner_foreign_boundary_space,0.366666667,0.0,"dio_text_1mm9owh: passive_foreign_boundary_core; right=inner_foreign_boundary_space; score=0.367; passiv, keine Handlung.",inner_foreign_boundary_space,0.366666667,0.0,0.0,0.0,dio_0kvi|dio_0ma9|dio_0yfk|dio_1ipn|dio_1rlf|dio_1s14|dio_1xp5,dio_0kvi|dio_0ma9|dio_0yfk|dio_1ipn|dio_1rlf|dio_1s14|dio_1xp5,True,False,False,False,False,False,False,False
dio_text_14j2cfa,passive_foreign_boundary_core,stable_foreign_boundary,inner_foreign_boundary_space,0.36,0.0,"dio_text_14j2cfa: passive_foreign_boundary_core; right=inner_foreign_boundary_space; score=0.360; passiv, keine Handlung.",inner_foreign_boundary_space,0.36,0.0,0.0,0.0,dio_02nj|dio_048k|dio_0nzd|dio_16qx|dio_1aog|dio_1m31,dio_02nj|dio_048k|dio_0nzd|dio_16qx|dio_1aog|dio_1m31,True,False,False,False,False,False,False,False
dio_text_1r52tzd,passive_foreign_boundary_core,stable_foreign_boundary,inner_foreign_boundary_space,0.36,0.0,"dio_text_1r52tzd: passive_foreign_boundary_core; right=inner_foreign_boundary_space; score=0.360; passiv, keine Handlung.",inner_foreign_boundary_space,0.36,0.0,0.0,0.0,dio_04ek|dio_058j|dio_0a7l|dio_1rl5|dio_1u6n|dio_1xe5,dio_04ek|dio_058j|dio_0a7l|dio_1rl5|dio_1u6n|dio_1xe5,True,False,False,False,False,False,False,False
dio_text_vaydbf,passive_foreign_boundary_core,stable_foreign_boundary,inner_foreign_boundary_space,0.36,0.0,"dio_text_vaydbf: passive_foreign_boundary_core; right=inner_foreign_boundary_space; score=0.360; passiv, keine Handlung.",inner_foreign_boundary_space,0.36,0.0,0.0,0.0,dio_0c7j|dio_0i79|dio_0ims|dio_0tsr|dio_1dfg|dio_1dvl,dio_0c7j|dio_0i79|dio_0ims|dio_0tsr|dio_1dfg|dio_1dvl,True,False,False,False,False,False,False,False
