family_action,symbol_family,action,open_reife_candidate_state,time_maturity_state,episode_freshness_state,episode_source_labels,episode_source_count,episode_count,phase_time_states,outcome_events,event_reward_sum,avg_event_reward,avg_finite_phase_age,avg_bars_held,has_inner_maturity,inner_memory_state,inner_map_count,inner_seeds,bridge_passive_family_action,bridge_maturity_state,bridge_similarity,passive_only,influences_action,is_gate,is_motoric,observation_weight,open_reife_note
dio_0arw:LONG,dio_0arw,LONG,open_inner_reife_candidate,fresh_carried_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,executed_temporal_contact:12,TP:12,12.0,1.0,5.0,2.0,0,,0,,,,0.0,1,0,0,0,9.52,"dio_0arw:LONG: reale frische Tragspur ohne innere Reife. Weiter passiv beobachten; Quellen=basis,followup1,followup2,followup3; outcomes=TP:12; reward=12.000000."
dio_1txv:SHORT,dio_1txv,SHORT,open_inner_reife_candidate,fresh_carried_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,no_prior_phase:12,TP:12,12.0,1.0,0.0,1.0,0,,0,,,,0.0,1,0,0,0,9.52,"dio_1txv:SHORT: reale frische Tragspur ohne innere Reife. Weiter passiv beobachten; Quellen=basis,followup1,followup2,followup3; outcomes=TP:12; reward=12.000000."
dio_1vpi:SHORT,dio_1vpi,SHORT,open_inner_reife_candidate,fresh_carried_without_inner_memory,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,executed_temporal_contact:12,TP:12,12.0,1.0,6.0,3.0,0,,0,,,,0.0,1,0,0,0,9.52,"dio_1vpi:SHORT: reale frische Tragspur ohne innere Reife. Weiter passiv beobachten; Quellen=basis,followup1,followup2,followup3; outcomes=TP:12; reward=12.000000."
dio_0u1i:SHORT,dio_0u1i,SHORT,open_inner_reife_candidate,fresh_carried_without_inner_memory,fresh_recurrent_episode_trace,"followup1,followup2,followup3",3,9,no_prior_phase:9,TP:9,9.0,1.0,0.0,3.0,0,,0,,,,0.0,1,0,0,0,7.89,"dio_0u1i:SHORT: reale frische Tragspur ohne innere Reife. Weiter passiv beobachten; Quellen=followup1,followup2,followup3; outcomes=TP:9; reward=9.000000."
dio_02qu:LONG,dio_02qu,LONG,already_inner_bridged_reference,fresh_carried_from_inner_bridge,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,executed_temporal_contact:12,TP:12,12.0,1.0,5.0,2.0,1,passive_inner_memory_stable,4,inner_trust_seed,dio_14xc:LONG,passive_observation_has_carried_neighbor,0.800216,1,0,0,0,9.82,"dio_02qu:LONG: bereits ueber innere Reifebruecke lesbar (dio_14xc:LONG); Quellen=basis,followup1,followup2,followup3; reward=12.000000."
dio_1g18:SHORT,dio_1g18,SHORT,already_inner_bridged_reference,fresh_carried_from_inner_bridge,fresh_recurrent_episode_trace,"basis,followup1,followup2,followup3",4,12,executed_temporal_contact:12,TP:12,12.0,1.0,8.75,3.0,1,passive_inner_memory_reorganizing,4,"inner_reorganization_seed,inner_trust_seed",dio_173s:SHORT,passive_observation_has_carried_neighbor,0.811962,1,0,0,0,9.82,"dio_1g18:SHORT: bereits ueber innere Reifebruecke lesbar (dio_173s:SHORT); Quellen=basis,followup1,followup2,followup3; reward=12.000000."
dio_1k0r:LONG,dio_1k0r,LONG,burden_reife_watch,burden_without_inner_memory,older_recurrent_episode_trace,"basis,followup1",2,4,no_prior_phase:4,SL:4,-4.0,-1.0,0.0,2.0,0,,0,,,,0.0,1,0,0,0,0.34,"dio_1k0r:LONG: belastete Spur ohne innere Reife. Nicht verdraengen, aber passiv als Vorsichtsspur lesen; Quellen=basis,followup1; reward=-4.000000."
dio_0x52:SHORT,dio_0x52,SHORT,burden_reife_watch,burden_without_inner_memory,older_local_episode_trace,basis,1,3,no_prior_phase:3,SL:3,-3.0,-1.0,0.0,1.0,0,,0,,,,0.0,1,0,0,0,0.03,"dio_0x52:SHORT: belastete Spur ohne innere Reife. Nicht verdraengen, aber passiv als Vorsichtsspur lesen; Quellen=basis; reward=-3.000000."
dio_07rf:WAIT,dio_07rf,WAIT,older_open_trace_watch,older_trace_without_inner_memory,older_local_episode_trace,basis,1,3,different_contact_afterimage:3,NO_TRADE:3,0.0,0.0,7.0,0.0,0,,0,,,,0.0,1,0,0,0,1.13,dio_07rf:WAIT: alte offene Zeitspur ohne aktuelle Konsequenz; Quellen=basis.
dio_0izw:WAIT,dio_0izw,WAIT,older_open_trace_watch,older_trace_without_inner_memory,older_local_episode_trace,basis,1,3,different_contact_afterimage:3,NO_TRADE:3,0.0,0.0,6.0,0.0,0,,0,,,,0.0,1,0,0,0,1.13,dio_0izw:WAIT: alte offene Zeitspur ohne aktuelle Konsequenz; Quellen=basis.
