left_family,right_family,left_episodes,right_episodes,left_reife_state,right_reife_state,reife_state_relation,left_neuro_tone,right_neuro_tone,neuro_tone_relation,left_action,right_action,action_relation,sense_distance,sense_similarity,mcm_distance,mcm_similarity,hearing_distance,hearing_similarity,temporal_distance,temporal_similarity,neuro_distance,neuro_similarity,reflection_distance,reflection_similarity,reife_distance,reife_similarity,meaning_distance,meaning_similarity,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,neighbor_state,dio_neighbor_sentence
dio_1n79,dio_1aqj,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.003802,0.999884,0.002541,0.999948,0.005604,0.999749,0.0,1.0,0.000649,0.999997,0.001361,0.999985,0.0,1.0,0.002344,0.999956,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1n79+dio_1aqj: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1gwl,dio_0nvd,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.004745,0.99982,0.003411,0.999907,0.005562,0.999753,0.0,1.0,0.00042,0.999999,0.000891,0.999994,0.0,1.0,0.002687,0.999942,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1gwl+dio_0nvd: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1m7i,dio_10xx,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.006098,0.999703,0.003569,0.999898,0.004104,0.999865,0.0,1.0,0.000979,0.999992,0.001551,0.999981,0.0,1.0,0.003002,0.999928,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1m7i+dio_10xx: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1p8y,dio_0192,6,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.004826,0.999814,0.001008,0.999992,0.013402,0.998565,0.0,1.0,0.001546,0.999981,0.002741,0.99994,0.0,1.0,0.003424,0.999906,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1p8y+dio_0192: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1ffn,dio_1i05,2,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.00647,0.999665,0.007541,0.999545,0.000744,0.999996,0.0,1.0,0.001731,0.999976,0.000358,0.999999,0.0,1.0,0.003572,0.999898,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1ffn+dio_1i05: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_12x0,dio_0zkk,6,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.0085,0.999422,0.001553,0.999981,0.007514,0.999549,0.0,1.0,0.002007,0.999968,0.002577,0.999947,0.0,1.0,0.00377,0.999886,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_12x0+dio_0zkk: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0azl,dio_1n5f,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.008356,0.999442,0.005549,0.999754,0.006679,0.999643,0.0,1.0,0.001725,0.999976,0.000549,0.999998,0.0,1.0,0.004313,0.999851,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0azl+dio_1n5f: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0jx1,dio_1jfw,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.010052,0.999192,0.004077,0.999867,0.010439,0.999129,0.0,1.0,0.000288,0.999999,0.00021,1.0,0.0,1.0,0.004619,0.999829,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0jx1+dio_1jfw: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0hl8,dio_1ee7,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.007941,0.999496,0.008607,0.999408,0.004613,0.99983,0.0,1.0,0.00248,0.999951,0.002102,0.999965,0.0,1.0,0.004868,0.99981,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0hl8+dio_1ee7: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_02rt,dio_1a18,6,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.007488,0.999552,0.003143,0.999921,0.019143,0.997077,0.0,1.0,0.00138,0.999985,0.002596,0.999946,0.0,1.0,0.005187,0.999785,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_02rt+dio_1a18: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1gwl,dio_12sg,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.008315,0.999447,0.004785,0.999817,0.015631,0.998049,0.0,1.0,0.001815,0.999974,0.00091,0.999993,0.0,1.0,0.005251,0.999779,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1gwl+dio_12sg: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0l06,dio_15e5,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.011786,0.99889,0.006045,0.999708,0.006327,0.99968,0.0,1.0,0.002754,0.999939,0.000815,0.999995,0.0,1.0,0.005368,0.999769,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0l06+dio_15e5: gleiche passive Bedeutungsinsel, ohne Handlung."
