inner_transition,count,reward_sum,best_reward_sum,avg_reward,families,actions
same_inner_state,24,1.453,11.996942,0.060542,"dio_0akd,dio_0ofo,dio_10dk,dio_13u8,dio_14xc,dio_1d3r,dio_1f9y,dio_1mym","LONG,WAIT"
inner_open_observation_to_inner_carried,8,1.389869,6.742395,0.173734,"dio_0120,dio_0bmh,dio_0n9e","LONG,WAIT"
inner_unfinished_to_inner_carried,4,1.08676,4.34704,0.27169,dio_04z7,"LONG,WAIT"
timeline_start,4,0.911881,3.647524,0.22797,dio_1bwb,"SHORT,WAIT"
inner_carried_to_inner_open_observation,12,0.0,5.573733,0.0,"dio_040y,dio_0fzl,dio_0ps1,dio_14xc,dio_1d1z,dio_1f9y",WAIT
inner_open_observation_to_inner_unfinished,4,0.0,2.780168,0.0,dio_1k7y,WAIT
