symbol_family,count,reflection_states,reward_delta,episode_delta,actions,sources,wait_trace_count
dio_19i4,1,burden_reorganized_into_observation,2.0,-2,SHORT,probe7,1
dio_1k0r,1,burden_reorganized_into_observation,2.0,-2,LONG,probe16,1
