alignment_state,family_count,avg_sensory_field_distance,avg_score_delta,avg_episode_count_delta,avg_mcm_coherence_delta,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
same_sensory_field_visible,34,0.018498669,-0.276274509,0.441176471,0.001064176,True,False,False,False,False,False,False,False
same_sensory_field_but_reife_kippt,11,0.01546641,-0.278484848,1.909090909,0.000457455,True,False,False,False,False,False,False,False
near_mcm_field_with_sensory_variation,9,0.123553179,-0.276666666,-1.888888889,-0.004726889,True,False,False,False,False,False,False,False
same_sensory_field_but_less_lived_support,8,0.026093528,-0.276666666,-3.625,-0.000765125,True,False,False,False,False,False,False,False
syntax_survives_but_context_changed,1,0.4042069,-0.276666666,0.0,0.617341,True,False,False,False,False,False,False,False
