transfer_reife_state,family_count,avg_transfer_reife,avg_similarity,same_action_count,same_outcome_count,families
transfer_reife_quiet_same_consequence,1,0.811887318,0.741808732,1,1,dio_14xc->dio_0cgn
transfer_reife_action_same_consequence_changed,1,0.586370162,0.911500425,1,0,dio_02qu->dio_1k0r
transfer_reife_open,3,0.457090501,0.879185529,0,0,"dio_0arw->dio_0vc8,dio_1txv->dio_0cgn,dio_1vpi->dio_0cgn"
