target_family,reference_family,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_phases,reference_phases,target_executed_rows,reference_executed_rows,target_observed_rows,reference_observed_rows
dio_05pr,dio_0nmi,0.500961,0.499039,0.0,6.770993,sensor_relation_probe5_variation,"order_shift,sensor_relation_probe2",0,4,3,1
dio_05pr,dio_1d6j,0.541557,0.458443,0.0,4.768065,sensor_relation_probe5_variation,"order_shift,order_shift_varianz",0,5,3,3
dio_05pr,dio_0qb3,0.579765,0.420235,0.0,5.353388,sensor_relation_probe5_variation,"sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation",0,9,3,3
dio_0kpn,dio_0nmi,0.11504,0.88496,0.0,6.770993,sensor_relation_probe5_variation,"order_shift,sensor_relation_probe2",0,4,4,1
dio_0kpn,dio_0x52,0.443994,0.556006,0.0,3.99281,sensor_relation_probe5_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat",0,5,4,3
dio_0kpn,dio_09jn,0.447139,0.552861,0.0,2.190568,sensor_relation_probe5_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation",0,7,4,5
dio_0p8l,dio_1d6j,0.19935,0.80065,0.0,4.768065,sensor_relation_probe5_variation,"order_shift,order_shift_varianz",0,5,3,3
dio_0p8l,dio_0qb3,0.250974,0.749026,0.0,5.353388,sensor_relation_probe5_variation,"sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation",0,9,3,3
dio_0p8l,dio_0nmi,0.448832,0.551168,0.0,6.770993,sensor_relation_probe5_variation,"order_shift,sensor_relation_probe2",0,4,3,1
dio_14mj,dio_14wi,0.017364,0.982636,0.798383,4.496005,sensor_relation_probe5_variation,"sensor_relation_probe4,sensor_relation_probe4_repeat",1,5,3,3
dio_14mj,dio_0x52,0.028501,0.971499,0.798383,3.99281,sensor_relation_probe5_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat",1,5,3,3
dio_14mj,dio_09jn,0.328191,0.671809,0.798383,2.190568,sensor_relation_probe5_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation",1,7,3,5
dio_1et3,dio_0nmi,0.430243,0.569757,0.0,6.770993,sensor_relation_probe5_variation,"order_shift,sensor_relation_probe2",0,4,3,1
dio_1et3,dio_1d6j,0.529095,0.470905,0.0,4.768065,sensor_relation_probe5_variation,"order_shift,order_shift_varianz",0,5,3,3
dio_1et3,dio_0a54,0.533727,0.466273,0.0,3.445308,sensor_relation_probe5_variation,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat",0,6,3,4
dio_1kfx,dio_0x52,0.419449,0.580551,0.0,3.99281,sensor_relation_probe5_variation,"sensor_relation_probe5,sensor_relation_probe5_repeat",0,5,3,3
dio_1kfx,dio_14wi,0.425069,0.574931,0.0,4.496005,sensor_relation_probe5_variation,"sensor_relation_probe4,sensor_relation_probe4_repeat",0,5,3,3
dio_1kfx,dio_0a54,0.477156,0.522844,0.0,3.445308,sensor_relation_probe5_variation,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat",0,6,3,4
dio_1tik,dio_0a54,0.104724,0.895276,0.0,3.445308,sensor_relation_probe5_variation,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat",0,6,4,4
dio_1tik,dio_0nmi,0.384794,0.615206,0.0,6.770993,sensor_relation_probe5_variation,"order_shift,sensor_relation_probe2",0,4,4,1
dio_1tik,dio_0qb3,0.470357,0.529643,0.0,5.353388,sensor_relation_probe5_variation,"sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation",0,9,4,3
