contact_id,contact_symbol,contact_lage_state,run,tick,timestamp_ms,symbol,symbol_family,episode_contact_state,action,best_action_training,observation_learning_action,reward,trade_readiness,associative_trade,observation_learning_pressure
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,1,1767430300000000,dio_1tmfd60,dio_1tmf,kontakt_beobachtet_reift,WAIT,LONG,LONG,0.000000,0.006174,0.088203,0.084189
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,2,1767430600000000,dio_1hjm9ux,dio_1hjm,kontakt_beobachtet_reift,WAIT,LONG,LONG,0.000000,0.004422,0.063166,0.060292
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,3,1767430900000000,dio_15a2myi,dio_15a2,kontakt_beobachtet_reift,WAIT,LONG,LONG,0.000000,0.004469,0.063838,0.060933
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,4,1767431200000000,dio_0bcjmgg,dio_0bcj,kontakt_beobachtet_reift,WAIT,SHORT,SHORT,0.000000,0.004278,0.061117,0.058336
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,5,1767431500000000,dio_1tqxs5a,dio_1tqx,kontakt_beobachtet_reift,WAIT,SHORT,SHORT,0.000000,0.004832,0.069027,0.065886
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,6,1767431800000000,dio_0y4s5zt,dio_0y4s,kontakt_beobachtet_reift,WAIT,SHORT,SHORT,0.000000,0.004330,0.061858,0.059043
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,7,1767432100000000,dio_04iyp8w,dio_04iy,kontakt_beobachtet_reift,WAIT,SHORT,SHORT,0.000000,0.004203,0.060044,0.057312
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,8,1767432400000000,dio_06j3i5p,dio_06j3,kontakt_beobachtet_reift,WAIT,SHORT,SHORT,0.000000,0.004850,0.069286,0.066133
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,9,1767432700000000,dio_1amwypz,dio_1amw,kontakt_beobachtet_reift,WAIT,LONG,LONG,0.000000,0.004543,0.064895,0.061943
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,10,1767433000000000,dio_1m5f9rp,dio_1m5f,kontakt_beobachtet_reift,WAIT,LONG,LONG,0.000000,0.004677,0.066811,0.063771
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,11,1767433300000000,dio_0ux283j,dio_0ux2,kontakt_beobachtet_reift,WAIT,SHORT,SHORT,0.000000,0.004835,0.069077,0.065934
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,12,1767433600000000,dio_14av8fn,dio_14av,kontakt_beobachtet_reift,WAIT,SHORT,SHORT,0.000000,0.004323,0.061759,0.058949
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,13,1767433900000000,dio_0t0va9u,dio_0t0v,kontakt_beobachtet_reift,WAIT,SHORT,SHORT,0.000000,0.004124,0.058911,0.056231
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,14,1767434200000000,dio_1gp1s70,dio_1gp1,kontakt_beobachtet_reift,WAIT,SHORT,SHORT,0.000000,0.004623,0.066047,0.063041
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,15,1767434500000000,dio_1qxdcpt,dio_1qxd,kontakt_ruhend,WAIT,WAIT,-,0.000000,0.004076,0.058227,0.000000
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,16,1767434800000000,dio_0rsw32x,dio_0rsw,kontakt_beobachtet_reift,WAIT,LONG,LONG,0.000000,0.004241,0.060587,0.057830
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,17,1767435100000000,dio_0c1f00q,dio_0c1f,kontakt_beobachtet_reift,WAIT,LONG,LONG,0.000000,0.004015,0.057354,0.054744
kontakt_fern_probe10,dio_contact_10rb13a,ferne_aehnlichkeit,112,18,1767435400000000,dio_0klciyf,dio_0klc,kontakt_beobachtet_reift,WAIT,LONG,LONG,0.000000,0.004526,0.064657,0.061715
