inner_state,count,event_reward_sum,memory_reward_sum,families,actions
inner_consequence_carried,4,12.0,47.936518,"dio_02qu,dio_0arw,dio_1u7v,dio_1vpi","LONG,SHORT"
inner_consequence_quiet,1,0.0,0.0,dio_14xc,WAIT
