phase,phase_run,global_run,data_path,candles,episodes,trades,long_trades,short_trades,waits,total_reward,avg_reward,unique_symbols,avg_trade_readiness,max_trade_readiness,avg_associative_trade,max_associative_trade,avg_maturity_gap,max_maturity_gap,avg_mature_transfer,max_mature_transfer,avg_observation_trade_signal,max_observation_trade_signal,avg_observation_trade_readiness,max_observation_trade_readiness,observation_learning_events,avg_observation_learning_pressure,max_observation_learning_pressure,top_long_family,top_long_trust,top_short_family,top_short_trust
referenz,1,1,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,12,0,0,0,12,0.0,0.0,12,0.000605,0.000933,0.008648,0.013333,0.008042,0.0124,0.000605,0.000933,0.0,0.0,0.0,0.0,10,0.008816,0.012727,dio_0byw,0.08,dio_0zlr,0.04919579029428961
referenz,2,2,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,12,0,0,0,12,0.0,0.0,12,0.01385,0.018112,0.013784,0.022275,0.002647,0.014626,0.011137,0.017,0.000644,0.001432,7.1e-05,0.000157,11,0.005775,0.012106,dio_0byw,0.15360000000000001,dio_0zlr,0.09445591736503606
referenz,3,3,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,5,2,1,1,3,3.758544,0.751709,5,0.040517,0.066529,0.027949,0.03162,0.005617,0.028083,0.022332,0.03162,0.000519,0.001036,5.7e-05,0.000114,2,0.009162,0.009457,dio_0byw,0.4087413226613301,dio_14zx,0.3790548238623836
referenz,4,4,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,4,2,1,1,2,2.686201,0.67155,4,0.081617,0.263833,0.045185,0.052435,0.019598,0.039622,0.025587,0.052435,0.00032,0.001022,3.5e-05,0.000112,1,0.040666,0.040666,dio_0byw,0.628162860150074,dio_14zx,0.3790548238623836
referenz,5,5,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,4,2,1,1,2,2.686201,0.67155,4,0.17644,0.534813,0.063704,0.09004,0.01953,0.056561,0.044174,0.09004,0.00118,0.003439,0.00013,0.000378,1,0.027547,0.027547,dio_0byw,0.8168653823903939,dio_14zx,0.3790548238623836
referenz,6,6,data\kontrolliert_2episoden_5m_SOLUSDT.csv,18,4,2,1,1,2,2.686201,0.67155,4,0.296978,0.860072,0.090055,0.138095,0.019437,0.077748,0.070618,0.138095,0.001763,0.005769,0.000194,0.000635,1,0.016741,0.016741,dio_0byw,0.9791495515170688,dio_14zx,0.3790548238623836
varianz,1,7,data\kontrolliert_varianz_2episoden_5m_SOLUSDT.csv,18,12,0,0,0,12,0.0,0.0,12,0.00514,0.013454,0.073432,0.192193,0.068291,0.17874,0.00514,0.013454,0.0,0.0,0.0,0.0,12,0.07009,0.183448,dio_0byw,0.9791495515170688,dio_14zx,0.3790548238623836
varianz,2,8,data\kontrolliert_varianz_2episoden_5m_SOLUSDT.csv,18,12,0,0,0,12,0.0,0.0,12,0.015073,0.021854,0.053159,0.105998,0.038086,0.088542,0.015073,0.021854,0.005032,0.015164,0.000554,0.001668,12,0.043362,0.094652,dio_0byw,0.9791495515170688,dio_14zx,0.3790548238623836
varianz,3,9,data\kontrolliert_varianz_2episoden_5m_SOLUSDT.csv,18,4,2,1,1,2,2.901354,0.725339,4,0.041744,0.057309,0.071281,0.113325,0.03101,0.056016,0.040271,0.057309,0.009529,0.022987,0.001048,0.002529,2,0.043575,0.04864,dio_0byw,0.9791495515170688,dio_14zx,0.3790548238623836
varianz,4,10,data\kontrolliert_varianz_2episoden_5m_SOLUSDT.csv,18,4,2,1,1,2,2.425854,0.606463,4,0.08802,0.204487,0.081911,0.117038,0.015753,0.030099,0.066158,0.117038,0.010286,0.022987,0.001132,0.002529,2,0.038952,0.039859,dio_0byw,0.9791495515170688,dio_0n4c,0.47447156587200845
rauschen,1,11,data\kontrolliert_rauschen_2episoden_5m_SOLUSDT.csv,22,16,0,0,0,16,0.0,0.0,16,0.004427,0.008423,0.063248,0.120335,0.058821,0.111912,0.004427,0.008423,0.0,0.0,0.0,0.0,16,0.060371,0.11486,dio_0byw,0.9791495515170688,dio_0n4c,0.47447156587200845
