left_family,right_family,left_episodes,right_episodes,left_reife_state,right_reife_state,reife_state_relation,left_neuro_tone,right_neuro_tone,neuro_tone_relation,left_action,right_action,action_relation,sense_distance,sense_similarity,mcm_distance,mcm_similarity,hearing_distance,hearing_similarity,temporal_distance,temporal_similarity,neuro_distance,neuro_similarity,reflection_distance,reflection_similarity,reife_distance,reife_similarity,meaning_distance,meaning_similarity,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,neighbor_state,dio_neighbor_sentence
dio_0m7s,dio_0mhr,1,1,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2e-05,1.0,1e-05,1.0,0.0,1.0,4e-06,1.0,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0m7s+dio_0mhr: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0r4h,dio_0reg,1,1,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.9e-05,1.0,1e-05,1.0,0.0,1.0,4e-06,1.0,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0r4h+dio_0reg: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_1nlu,dio_1nvu,1,1,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.8e-05,1.0,9e-06,1.0,0.0,1.0,3e-06,1.0,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_1nlu+dio_1nvu: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_10qz,dio_114i,4,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.004326,0.99985,0.005436,0.999764,0.000745,0.999996,0.0,1.0,0.001402,0.999984,0.000911,0.999993,0.0,1.0,0.002593,0.999946,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_10qz+dio_114i: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_07kj,dio_09u3,2,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.005296,0.999776,0.001678,0.999977,0.010493,0.99912,0.0,1.0,0.000397,0.999999,0.000135,1.0,0.0,1.0,0.002966,0.99993,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_07kj+dio_09u3: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0e37,dio_11qz,4,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.006168,0.999696,0.004774,0.999818,0.002511,0.99995,0.0,1.0,0.00196,0.999969,0.000852,0.999994,0.0,1.0,0.003174,0.999919,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0e37+dio_11qz: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0r8l,dio_10xx,6,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.005276,0.999777,0.001204,0.999988,0.010245,0.999161,0.0,1.0,0.002136,0.999963,0.003761,0.999887,0.0,1.0,0.00336,0.99991,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0r8l+dio_10xx: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_12x0,dio_12n0,7,1,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.00568,0.999742,0.003586,0.999897,0.009344,0.999302,0.0,1.0,0.002596,0.999946,0.004507,0.999838,0.0,1.0,0.003997,0.999872,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_12x0+dio_12n0: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_0eeh,dio_0dki,9,3,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.006522,0.99966,0.005102,0.999792,0.009498,0.999279,0.0,1.0,0.004422,0.999844,0.005734,0.999737,0.0,1.0,0.004905,0.999808,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_0eeh+dio_0dki: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_09b1,dio_1640,4,2,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.010337,0.999146,0.006193,0.999693,0.008236,0.999458,0.0,1.0,0.002331,0.999957,0.001542,0.999981,0.0,1.0,0.005282,0.999777,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_09b1+dio_1640: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_12x0,dio_0zkk,7,2,,,same_state,focus_tone,focus_tone,same_state,WAIT,WAIT,same_state,0.010121,0.999181,0.001662,0.999978,0.015633,0.998049,0.0,1.0,0.002374,0.999955,0.003413,0.999907,0.0,1.0,0.005276,0.999777,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_12x0+dio_0zkk: gleiche passive Bedeutungsinsel, ohne Handlung."
dio_09fk,dio_09zn,4,3,,,same_state,observation_tone,observation_tone,same_state,WAIT,WAIT,same_state,0.011629,0.998919,0.009104,0.999337,0.002857,0.999935,0.0,1.0,0.001268,0.999987,0.000219,1.0,0.0,1.0,0.005332,0.999773,True,False,False,False,False,False,False,False,passive_same_meaning_island,"dio_09fk+dio_09zn: gleiche passive Bedeutungsinsel, ohne Handlung."
