stage_order,stage_label,family,found,match_count,text_islands,text_changed_from_previous,inner_map_states,maturity_states,semantic_maturity_score,score_delta_from_previous,stability_pressure,variation_bearing,drift_pressure,lineage_motion_state,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
1,C,dio_0x52,True,1,dio_text_cmxrx4,False,inner_variation_bearing_space,variant_resilient_text_island,0.6272642,0.0,0.95397655,0.49090568,0.2,family_carried_phase,True,False,False,False,False,False,False,False
1,C,dio_1lg2,False,0,,False,,,0.0,0.0,0.0,0.0,0.0,family_not_visible,True,False,False,False,False,False,False,False
2,D,dio_0x52,True,1,dio_text_cmxrx4,False,inner_variation_bearing_space,variant_resilient_text_island,0.658346867,0.031082667,0.94962055,0.563338747,0.166666667,family_carried_phase,True,False,False,False,False,False,False,False
2,D,dio_1lg2,False,0,,False,,,0.0,0.0,0.0,0.0,0.0,family_not_visible,True,False,False,False,False,False,False,False
3,E,dio_0x52,True,1,dio_text_cmxrx4,False,inner_variation_bearing_space,variant_resilient_text_island,0.673354733,0.015007866,0.94505885,0.612199036,0.142857143,family_carried_phase,True,False,False,False,False,False,False,False
3,E,dio_1lg2,False,0,,False,,,0.0,0.0,0.0,0.0,0.0,family_not_visible,True,False,False,False,False,False,False,False
4,F,dio_0x52,True,1,dio_text_cmxrx4,False,inner_drift_watch_space,drifting_unstable_text_island,0.572545067,-0.100809666,0.7480406,0.604018027,0.25,family_drift_phase,True,False,False,False,False,False,False,False
4,F,dio_1lg2,False,0,,False,,,0.0,0.0,0.0,0.0,0.0,family_not_visible,True,False,False,False,False,False,False,False
5,F_G,dio_0x52,True,1,dio_text_1456g6j,True,inner_soft_variation_space,variant_resilient_text_island,0.393777267,-0.1787678,0.43455415,0.457510907,0.0,family_softening_phase,True,False,False,False,False,False,False,False
5,F_G,dio_1lg2,True,1,dio_text_1456g6j,False,inner_soft_variation_space,variant_resilient_text_island,0.393777267,0.0,0.43455415,0.457510907,0.0,family_carried_phase,True,False,False,False,False,False,False,False
6,G_H,dio_0x52,True,1,dio_text_1ne15hk,True,inner_soft_variation_space,variant_resilient_text_island,0.472786,0.079008733,0.6151615,0.4891144,0.0,family_strengthening_phase,True,False,False,False,False,False,False,False
6,G_H,dio_1lg2,True,1,dio_text_1ne15hk,True,inner_soft_variation_space,variant_resilient_text_island,0.472786,0.079008733,0.6151615,0.4891144,0.0,family_strengthening_phase,True,False,False,False,False,False,False,False
