family,rows,trades,tp,sl,reward_sum,tone_counts,avg_support,avg_load,avg_balance,max_trust_tone,max_caution_tone,max_strain_tone,max_relief_tone
dio_16in,10,2,2,0,2.0,"{'focus_tone': 9, 'relief_tone': 1}",0.43589990000000006,0.19667020000000002,0.23922980000000002,0.501446,0.308041,0.308561,0.78814
dio_049y,4,0,0,0,0.0,{'focus_tone': 4},0.39274549999999997,0.1976705,0.19507475000000002,0.171317,0.300525,0.294039,0.315988
dio_04jy,2,0,0,0,0.0,{'focus_tone': 2},0.39246349999999997,0.198171,0.19429249999999998,0.168364,0.30063,0.294008,0.315291
dio_1bgr,7,0,0,0,0.0,{'focus_tone': 7},0.38412657142857143,0.20433199999999999,0.179794,0.179306,0.299602,0.292256,0.31703
dio_02jf,4,0,0,0,0.0,{'focus_tone': 4},0.34966625,0.1988485,0.1508175,0.007806,0.255907,0.207418,0.293024
dio_161r,4,0,0,0,0.0,{'focus_tone': 4},0.34813225,0.2028585,0.14527375,0.008366,0.259124,0.213744,0.28955
dio_0jso,4,0,0,0,0.0,{'focus_tone': 4},0.33262424999999995,0.23752525,0.09509875,0.008774,0.286811,0.267386,0.259216
dio_1u7q,4,0,0,0,0.0,{'focus_tone': 4},0.28883175,0.19425199999999998,0.09458,0.005794,0.252146,0.199902,0.296877
dio_0o8k,4,0,0,0,0.0,{'focus_tone': 4},0.32597525,0.25473225,0.071243,0.009227,0.300686,0.294131,0.244184
dio_13st,2,0,0,0,0.0,{'focus_tone': 2},0.325549,0.25466,0.07088900000000001,0.003075,0.299947,0.292918,0.243599
dio_14ms,1,0,0,0,0.0,{'focus_tone': 1},0.325276,0.255036,0.07024,0.000121,0.300051,0.292889,0.242988
dio_0eyx,3,0,0,0,0.0,{'focus_tone': 3},0.3247923333333333,0.2571053333333333,0.067687,0.00614,0.3022,0.297335,0.241739
dio_1t6b,4,0,0,0,0.0,{'focus_tone': 4},0.32341475000000003,0.25940125,0.06401325,0.009169,0.304426,0.301303,0.240102
dio_0cz8,4,0,0,0,0.0,{'focus_tone': 4},0.32338425000000004,0.26027350000000005,0.06311075,0.009175,0.305107,0.302686,0.239324
dio_1km5,4,0,0,0,0.0,{'focus_tone': 4},0.3230185,0.2602575,0.06276100000000001,0.009161,0.305097,0.302655,0.239339
dio_0rbo,4,0,0,0,0.0,{'focus_tone': 4},0.32091175,0.26471625,0.05619575,0.009119,0.308665,0.309534,0.235432
dio_018g,4,0,0,0,0.0,{'focus_tone': 4},0.32002275,0.26574325,0.05427925,0.009233,0.309435,0.311052,0.234527
dio_0j9l,4,0,0,0,0.0,{'focus_tone': 4},0.32005925,0.265903,0.054155999999999996,0.009096,0.30963,0.311336,0.234403
dio_06c2,4,0,0,0,0.0,{'focus_tone': 4},0.27543575,0.22351525,0.05192075,0.005828,0.27551,0.245118,0.271242
dio_17cm,1,0,0,0,0.0,{'focus_tone': 1},0.318749,0.267754,0.050995,0.000145,0.310222,0.312515,0.231857
dio_11nf,3,0,0,0,0.0,{'focus_tone': 3},0.3166023333333334,0.27532766666666664,0.04127466666666666,0.006035,0.316768,0.32553,0.225767
dio_13dt,4,0,0,0,0.0,{'observation_tone': 4},0.2263495,0.191497,0.034853,0.00312,0.249723,0.195183,0.299026
dio_194c,4,0,0,0,0.0,{'observation_tone': 4},0.2261165,0.19518874999999997,0.030927499999999997,0.003305,0.25269,0.200912,0.295814
dio_17o5,4,0,0,0,0.0,{'observation_tone': 4},0.225285,0.19631800000000002,0.028967,0.003262,0.253613,0.20265,0.294832
dio_17y4,3,0,0,0,0.0,{'focus_tone': 3},0.267097,0.24397133333333332,0.023125666666666666,0.004077,0.291643,0.276554,0.253103
dio_02tu,4,0,0,0,0.0,{'focus_tone': 4},0.26566249999999997,0.246132,0.01953025,0.005707,0.293521,0.280205,0.251373
dio_0tmw,4,0,0,0,0.0,{'focus_tone': 4},0.26522975,0.24926,0.01597,0.00664,0.296093,0.285106,0.248758
dio_0635,4,0,0,0,0.0,{'observation_tone': 4},0.2199285,0.20482700000000004,0.01510125,0.0028,0.260353,0.215773,0.287306
dio_15vo,4,0,0,0,0.0,{'focus_tone': 4},0.26160025000000003,0.2535705,0.0080295,0.006093,0.299467,0.291643,0.244941
dio_1jop,2,0,0,0,0.0,{'focus_tone': 2},0.25730549999999996,0.2628325,-0.005527000000000001,0.00208,0.306491,0.305256,0.236403
dio_1iuq,2,0,0,0,0.0,{'focus_tone': 2},0.25730600000000003,0.2628335,-0.0055275,0.00208,0.306499,0.305254,0.236403
dio_0o8c,4,0,0,0,0.0,{'observation_tone': 4},0.213743,0.21951625000000002,-0.005773250000000001,0.003122,0.272083,0.238519,0.274456
dio_1h53,4,0,0,0,0.0,{'observation_tone': 4},0.2138235,0.2198405,-0.006017,0.003335,0.272338,0.239032,0.274198
dio_0hmv,4,0,0,0,0.0,{'observation_tone': 4},0.24541475000000001,0.28973000000000004,-0.044315,0.006046,0.328272,0.347577,0.213216
