family,runs,run_count,symbol_count,rows,symbols_per_row,executed_long,executed_short,executed_wait,raw_long,raw_short,best_long,best_short,reward_sum,avg_reward,observation_learning_events,avg_observation_pressure
dio_0n4c,"7,8,9,10",4,1,4,0.25,0,2,2,0,2,0,4,2.938984,0.734746,2,0.13905
dio_0uct,"7,8,9,10",4,1,4,0.25,1,0,3,1,0,4,0,0.956362,0.239091,3,0.06537
dio_07mf,"7,8,9,10",4,1,4,0.25,0,0,4,0,0,4,0,0.0,0.0,4,0.042429
dio_179o,"7,8,9",3,1,3,0.333333,1,0,2,1,0,3,0,1.431863,0.477288,2,0.034838
dio_0oio,"7,8,10",3,1,3,0.333333,0,0,3,0,0,3,0,0.0,0.0,3,0.045744
dio_0vyd,"7,8",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.047033
dio_13wt,"7,8",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.053438
dio_1lz7,"7,8",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.036557
dio_1at7,"7,8",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.038453
dio_18wf,"7,8",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.02835
dio_081d,"7,8",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.045744
dio_0irs,"7,8",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.08825
