inner_variant_awareness_state,count,event_reward_sum,episode_count,family_actions
inner_variant_related_observation,4,0.0,12,"dio_143d:WAIT,dio_1c6b:WAIT,dio_1d3r:WAIT,dio_1m4n:WAIT"
inner_variant_self_carried,2,6.0,6,"dio_0n9e:LONG,dio_1k7y:LONG"
inner_variant_wait_context,4,0.0,12,"dio_0120:WAIT,dio_10dk:WAIT,dio_1d1z:WAIT,dio_1f9y:WAIT"
