source_label,run,tick,timestamp_ms,symbol,symbol_family,family_action,action,raw_action,outcome_event,phase_time_state,episode_relation,phase_active,phase_age,finite_phase_age,phase_distance,episode_binding_pressure,episode_release_pressure,bars_held,event_reward,reward,best_action_training,sehen_form_flow,hoeren_energy_tone,fuehlen_mcm_coherence,passive_only,influences_action,is_gate,is_motoric,time_sentence
probe7_f1,180,1,1767400300000000,dio_0x52rrz,dio_0x52,dio_0x52:SHORT,SHORT,SHORT,TP,no_prior_phase,none,0,9999,,1.0,0.0,1.0,2,1.0,1.0,SHORT,0.066613,0.062875,0.982395,1,0,0,0,probe7_f1 run=180 tick=1: dio_0x52 SHORT/TP; Zeitspur=no_prior_phase; reward=1.000000.
probe7_f1,180,6,1767401800000000,dio_0u8fyo5,dio_0u8f,dio_0u8f:LONG,LONG,LONG,TP,executed_temporal_contact,different_contact,0,5,5,0.467543,0.0,1.0,1,1.0,1.0,LONG,-0.488596,-0.048494,0.386422,1,0,0,0,probe7_f1 run=180 tick=6: dio_0u8f LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
probe7_f1,180,11,1767403300000000,dio_0lyugys,dio_0lyu,dio_0lyu:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,5,5,0.534916,0.0,1.0,0,0.0,0.0,LONG,0.31136,-0.156803,-0.243905,1,0,0,0,probe7_f1 run=180 tick=11: dio_0lyu WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
probe7_f1,180,12,1767403600000000,dio_19i4uz6,dio_19i4,dio_19i4:SHORT,SHORT,SHORT,SL,executed_temporal_contact,different_contact,0,6,6,0.426817,0.0,1.0,2,-1.0,-1.0,LONG,0.066309,-0.143215,-0.2401,1,0,0,0,probe7_f1 run=180 tick=12: dio_19i4 SHORT/SL; Zeitspur=executed_temporal_contact; reward=-1.000000.
probe7_f1,180,17,1767405100000000,dio_1h5yjpu,dio_1h5y,dio_1h5y:LONG,LONG,LONG,TP,executed_temporal_contact,different_contact,0,5,5,0.530286,0.0,1.0,3,1.0,1.0,LONG,-0.835918,0.106507,0.370178,1,0,0,0,probe7_f1 run=180 tick=17: dio_1h5y LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
probe7_f1,181,1,1767400300000000,dio_0x52rrz,dio_0x52,dio_0x52:SHORT,SHORT,SHORT,TP,no_prior_phase,none,0,9999,,1.0,0.0,1.0,2,1.0,1.0,SHORT,0.066613,0.062875,0.982395,1,0,0,0,probe7_f1 run=181 tick=1: dio_0x52 SHORT/TP; Zeitspur=no_prior_phase; reward=1.000000.
probe7_f1,181,6,1767401800000000,dio_0u8fyo5,dio_0u8f,dio_0u8f:LONG,LONG,LONG,TP,executed_temporal_contact,different_contact,0,5,5,0.467543,0.0,1.0,1,1.0,1.0,LONG,-0.488596,-0.048494,0.386422,1,0,0,0,probe7_f1 run=181 tick=6: dio_0u8f LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
probe7_f1,181,11,1767403300000000,dio_0lyugys,dio_0lyu,dio_0lyu:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,5,5,0.534916,0.0,1.0,0,0.0,0.0,LONG,0.31136,-0.156803,-0.243905,1,0,0,0,probe7_f1 run=181 tick=11: dio_0lyu WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
probe7_f1,181,12,1767403600000000,dio_19i4uz6,dio_19i4,dio_19i4:SHORT,SHORT,SHORT,SL,executed_temporal_contact,different_contact,0,6,6,0.426817,0.0,1.0,2,-1.0,-1.0,LONG,0.066309,-0.143215,-0.2401,1,0,0,0,probe7_f1 run=181 tick=12: dio_19i4 SHORT/SL; Zeitspur=executed_temporal_contact; reward=-1.000000.
probe7_f1,181,17,1767405100000000,dio_1h5yjpu,dio_1h5y,dio_1h5y:LONG,LONG,LONG,TP,executed_temporal_contact,different_contact,0,5,5,0.530286,0.0,1.0,3,1.0,1.0,LONG,-0.835918,0.106507,0.370178,1,0,0,0,probe7_f1 run=181 tick=17: dio_1h5y LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
probe7_f1,182,1,1767400300000000,dio_0x52rrz,dio_0x52,dio_0x52:SHORT,SHORT,SHORT,TP,no_prior_phase,none,0,9999,,1.0,0.0,1.0,2,1.0,1.0,SHORT,0.066613,0.062875,0.982395,1,0,0,0,probe7_f1 run=182 tick=1: dio_0x52 SHORT/TP; Zeitspur=no_prior_phase; reward=1.000000.
probe7_f1,182,6,1767401800000000,dio_0u8fyo5,dio_0u8f,dio_0u8f:LONG,LONG,LONG,TP,executed_temporal_contact,different_contact,0,5,5,0.467543,0.0,1.0,1,1.0,1.0,LONG,-0.488596,-0.048494,0.386422,1,0,0,0,probe7_f1 run=182 tick=6: dio_0u8f LONG/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
probe7_f1,182,11,1767403300000000,dio_0lyugys,dio_0lyu,dio_0lyu:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,5,5,0.534916,0.0,1.0,0,0.0,0.0,LONG,0.31136,-0.156803,-0.243905,1,0,0,0,probe7_f1 run=182 tick=11: dio_0lyu WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
probe7_f1,182,12,1767403600000000,dio_19i4uz6,dio_19i4,dio_19i4:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,6,6,0.426817,0.0,1.0,0,0.0,0.0,LONG,0.066309,-0.143215,-0.2401,1,0,0,0,probe7_f1 run=182 tick=12: dio_19i4 WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
probe7_f1,182,13,1767403900000000,dio_0qrmiq1,dio_0qrm,dio_0qrm:SHORT,SHORT,SHORT,TP,executed_temporal_contact,different_contact,0,7,7,0.397694,0.0,1.0,3,1.0,1.0,SHORT,0.033016,0.005226,-0.201463,1,0,0,0,probe7_f1 run=182 tick=13: dio_0qrm SHORT/TP; Zeitspur=executed_temporal_contact; reward=1.000000.
probe7_f1,182,18,1767405400000000,dio_19p6nk7,dio_19p6,dio_19p6:WAIT,WAIT,WAIT,NO_TRADE,different_contact_afterimage,different_contact,0,5,5,0.547424,0.0,1.0,0,0.0,0.0,LONG,-0.866513,-0.158018,0.355755,1,0,0,0,probe7_f1 run=182 tick=18: dio_19p6 WAIT/NO_TRADE; Zeitspur=different_contact_afterimage; reward=0.000000.
