symbol_family,count,best_reward_sum,best_reward_avg,best_reward_max,dominant_best_action,long_count,short_count,runs,ticks
dio_0hd3,2,2.91857,1.459285,1.459285,SHORT,0,2,"124,125","6,6"
dio_1g18,3,2.390277,0.796759,0.796759,SHORT,0,3,"124,125,126","13,13,13"
dio_1wie,3,2.383974,0.794658,0.794658,SHORT,0,3,"124,125,126","14,14,14"
dio_0c6o,2,2.296328,1.148164,1.148164,LONG,2,0,"124,125","1,1"
dio_0jco,3,2.201961,0.733987,0.733987,SHORT,0,3,"124,125,126","12,12,12"
dio_0u1i,2,2.152866,1.076433,1.076433,SHORT,0,2,"124,125","5,5"
dio_15ms,2,1.930956,0.965478,0.965478,SHORT,0,2,"124,125","7,7"
dio_12jm,3,1.68216,0.56072,0.56072,LONG,3,0,"124,125,126","17,17,17"
dio_1k8m,2,1.315004,0.657502,0.657502,LONG,2,0,"124,125","2,2"
dio_14jl,3,1.081761,0.360587,0.360587,LONG,3,0,"124,125,126","16,16,16"
dio_199c,2,1.045108,0.522554,0.522554,SHORT,0,2,"124,125","4,4"
dio_0avw,4,0.976056,0.244014,0.244014,SHORT,0,4,"124,125,126,127","11,11,11,11"
dio_0izw,2,0.804798,0.402399,0.402399,SHORT,0,2,"124,125","8,8"
dio_05s4,3,0.582525,0.194175,0.194175,SHORT,0,3,"124,125,126","15,15,15"
dio_1vp3,2,0.327426,0.163713,0.163713,LONG,2,0,"124,125","18,18"
dio_1uv4,1,0.163713,0.163713,0.163713,LONG,1,0,126,18
dio_07rf,2,0.060672,0.030336,0.030336,LONG,2,0,"124,125","9,9"
dio_1guc,2,0.059706,0.029853,0.029853,LONG,2,0,"124,125","3,3"
