compare_state,count,reward_delta,episode_delta,before_reward,after_reward,before_episode_count,after_episode_count,families
removed_variant_trace,5,2.0,-5,-2.0,0.0,5,0,"dio_040y:WAIT,dio_13u8:WAIT,dio_14xc:WAIT,dio_1d3r:LONG,dio_1mym:LONG"
same_variant_state,10,2.0,5,4.0,6.0,25,30,"dio_0120:WAIT,dio_0n9e:LONG,dio_10dk:WAIT,dio_143d:WAIT,dio_1c6b:WAIT,dio_1d1z:WAIT,dio_1d3r:WAIT,dio_1f9y:WAIT,dio_1k7y:LONG,dio_1m4n:WAIT"
