stability_label,family_count,row_count,reward_sum,event_reward_sum,families,binding_states
multisensory_stable_repeat,13,17,4.0,4.0,"dio_0120,dio_01vz,dio_040y,dio_0ofo,dio_0ps1,dio_10dk,dio_143d,dio_14xc,dio_1d3r,dio_1f9y,dio_1k7y,dio_1m4n,dio_1mym","multisensory_burdened_memory,multisensory_carried_contact,multisensory_quiet_hold,multisensory_quiet_observation"
multisensory_mixed_repeat,2,5,2.0,2.0,"dio_1c6b,dio_1d1z",multisensory_quiet_observation
