probe,family,probe_state,timeline_state,strongest_action_trace,current_seen_count,current_executed_count,current_reward_sum,current_actions,current_states,cortex_sentence
tp_sl_verify,dio_00qb,seen_unclear,-,LONG,1,0,0.0,WAIT:1,held_trade_pressure:1,dio_00qb: aktuelle Welt sieht 1 Kontakte; Aktenlage bleibt offen.
tp_sl_verify,dio_0arw,seen_carried,-,LONG,1,1,1.0,LONG:1,executed_aligned:1,dio_0arw: aktuelle Welt sieht 1 Kontakte; Aktenlage bleibt offen.
tp_sl_verify,dio_0t0v,seen_carried,-,LONG,1,1,1.0,LONG:1,executed_aligned:1,dio_0t0v: aktuelle Welt sieht 1 Kontakte; Aktenlage bleibt offen.
tp_sl_verify,dio_14xc,seen_unclear,-,LONG,1,0,0.0,WAIT:1,observed_trade_potential:1,dio_14xc: aktuelle Welt sieht 1 Kontakte; Aktenlage bleibt offen.
tp_sl_verify,dio_1u7v,seen_carried,-,SHORT,1,1,1.0,SHORT:1,executed_aligned:1,dio_1u7v: aktuelle Welt sieht 1 Kontakte; Aktenlage bleibt offen.
tp_sl_verify,dio_1vpi,seen_unclear,-,SHORT,1,0,0.0,WAIT:1,held_trade_pressure:1,dio_1vpi: aktuelle Welt sieht 1 Kontakte; Aktenlage bleibt offen.
tp_sl_verify,dio_0c6o,not_seen,mixed_reconfirmed_and_conflict,LONG,0,0,0.0,-,-,"dio_0c6o: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
tp_sl_verify,dio_005q,not_seen,-,LONG,0,0,0.0,-,-,"dio_005q: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
tp_sl_verify,dio_00eh,not_seen,-,SHORT,0,0,0.0,-,-,"dio_00eh: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
tp_sl_verify,dio_00h2,not_seen,-,WAIT,0,0,0.0,-,-,"dio_00h2: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
tp_sl_verify,dio_00rd,not_seen,-,WAIT,0,0,0.0,-,-,"dio_00rd: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
tp_sl_verify,dio_00t3,not_seen,-,SHORT,0,0,0.0,-,-,"dio_00t3: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
tp_sl_verify,dio_0120,not_seen,-,LONG,0,0,0.0,-,-,"dio_0120: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
tp_sl_verify,dio_017u,not_seen,-,SHORT,0,0,0.0,-,-,"dio_017u: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
tp_sl_verify,dio_018g,not_seen,-,LONG,0,0,0.0,-,-,"dio_018g: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
tp_sl_verify,dio_01nf,not_seen,-,LONG,0,0,0.0,-,-,"dio_01nf: gespeicherte Akte vorhanden, in dieser Debug-Welt nicht gesehen."
