fragment_group,fragments,fragment_count,reading,passive_only,influences_action
persistent_shared_core,fuehlen_mcm_coherence|sehen_form_stability,2,Ganzheitsnaehe besitzt einen stabilen gemeinsamen Kern.,True,False
all_shared_fragments,fuehlen_mcm_coherence|fuehlen_mcm_tension|sehen_form_stability,3,Alle je geteilten Fragmente ueber die Clusterstaende.,True,False
lost_shared_fragments,,0,"Fragmente, die aus der gemeinsamen Naehe gefallen sind.",True,False
gained_shared_fragments,fuehlen_mcm_tension,1,"Fragmente, die neu gemeinsam wurden.",True,False
target_only_new_fragments,hoeren_energy_tone|reflection_context_alignment|reflection_context_carry|reflection_context_strain,4,Neue Fragmente nur auf der Zielzeichen-Seite.,True,False
related_only_new_fragments,,0,Neue Fragmente nur auf der Nachbarzeichen-Seite.,True,False
