symbol_family,action,outcome_event,count,reward_sum,avg_reward,runs,ticks,passive_only
dio_1d3r,LONG,SL,1,-1.0,-1.0,159,4,1
dio_0ofo,LONG,TP,1,1.0,1.0,161,6,1
dio_0ps1,LONG,TP,1,1.0,1.0,160,7,1
dio_1c6b,SHORT,TP,1,1.0,1.0,161,1,1
dio_1d1z,SHORT,TP,1,1.0,1.0,160,2,1
dio_1k7y,LONG,TP,3,3.0,1.0,"159,160,161","13,13,13",1
dio_0120,WAIT,NO_TRADE,1,0.0,0.0,160,18,1
dio_01vz,WAIT,NO_TRADE,2,0.0,0.0,"159,161","18,18",1
dio_040y,WAIT,NO_TRADE,1,0.0,0.0,159,9,1
dio_10dk,WAIT,NO_TRADE,1,0.0,0.0,159,3,1
dio_143d,WAIT,NO_TRADE,1,0.0,0.0,159,11,1
dio_14xc,WAIT,NO_TRADE,1,0.0,0.0,161,11,1
dio_1c6b,WAIT,NO_TRADE,2,0.0,0.0,"159,160","1,1",1
dio_1d1z,WAIT,NO_TRADE,1,0.0,0.0,159,2,1
dio_1f9y,WAIT,NO_TRADE,1,0.0,0.0,159,10,1
dio_1m4n,WAIT,NO_TRADE,2,0.0,0.0,"159,161","12,12",1
dio_1mym,WAIT,NO_TRADE,1,0.0,0.0,160,12,1
