family,action_transition_class,dio_trace_code,trace_strength,phases,phase_count,reward_sum,executed_rows,observed_rows,direct_positive_action,observation_to_positive_action,held_observation,human_hint,trace_line
dio_14mj,matured_action_pattern,dio_trace_reif_handlung,1.0,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",3,7.185447,9,3,2,1,0,gesehen -> beobachtet -> gehandelt -> bestaetigt,"dio_14mj | dio_trace_reif_handlung | strength=1.000000 | phases=sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat | reward=7.185447 | gesehen -> beobachtet -> gehandelt -> bestaetigt"
dio_0nmi,matured_action_pattern,dio_trace_reif_handlung,1.0,"order_shift,sensor_relation_probe2",2,6.770993,4,1,1,1,0,gesehen -> beobachtet -> gehandelt -> bestaetigt,"dio_0nmi | dio_trace_reif_handlung | strength=1.000000 | phases=order_shift,sensor_relation_probe2 | reward=6.770993 | gesehen -> beobachtet -> gehandelt -> bestaetigt"
dio_0qb3,matured_action_pattern,dio_trace_reif_handlung,1.0,"sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation",3,5.353388,9,3,2,1,0,gesehen -> beobachtet -> gehandelt -> bestaetigt,"dio_0qb3 | dio_trace_reif_handlung | strength=1.000000 | phases=sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation | reward=5.353388 | gesehen -> beobachtet -> gehandelt -> bestaetigt"
dio_1d6j,matured_action_pattern,dio_trace_reif_handlung,1.0,"order_shift,order_shift_varianz",2,4.768065,5,3,1,1,0,gesehen -> beobachtet -> gehandelt -> bestaetigt,"dio_1d6j | dio_trace_reif_handlung | strength=1.000000 | phases=order_shift,order_shift_varianz | reward=4.768065 | gesehen -> beobachtet -> gehandelt -> bestaetigt"
dio_09jn,matured_action_pattern,dio_trace_reif_handlung,1.0,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",5,4.693512,15,5,3,1,1,gesehen -> beobachtet -> gehandelt -> bestaetigt,"dio_09jn | dio_trace_reif_handlung | strength=1.000000 | phases=sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat | reward=4.693512 | gesehen -> beobachtet -> gehandelt -> bestaetigt"
dio_14wi,matured_action_pattern,dio_trace_reif_handlung,1.0,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,4.496005,5,3,1,1,0,gesehen -> beobachtet -> gehandelt -> bestaetigt,"dio_14wi | dio_trace_reif_handlung | strength=1.000000 | phases=sensor_relation_probe4,sensor_relation_probe4_repeat | reward=4.496005 | gesehen -> beobachtet -> gehandelt -> bestaetigt"
dio_0x52,matured_action_pattern,dio_trace_reif_handlung,1.0,"sensor_relation_probe5,sensor_relation_probe5_repeat",2,3.99281,5,3,1,1,0,gesehen -> beobachtet -> gehandelt -> bestaetigt,"dio_0x52 | dio_trace_reif_handlung | strength=1.000000 | phases=sensor_relation_probe5,sensor_relation_probe5_repeat | reward=3.992810 | gesehen -> beobachtet -> gehandelt -> bestaetigt"
dio_1vm7,matured_action_pattern,dio_trace_reif_handlung,1.0,"sensor_relation_probe5,sensor_relation_probe5_repeat",2,3.554517,3,2,1,1,0,gesehen -> beobachtet -> gehandelt -> bestaetigt,"dio_1vm7 | dio_trace_reif_handlung | strength=1.000000 | phases=sensor_relation_probe5,sensor_relation_probe5_repeat | reward=3.554517 | gesehen -> beobachtet -> gehandelt -> bestaetigt"
dio_0a54,matured_action_pattern,dio_trace_reif_handlung,1.0,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat",3,3.445308,6,4,1,1,1,gesehen -> beobachtet -> gehandelt -> bestaetigt,"dio_0a54 | dio_trace_reif_handlung | strength=1.000000 | phases=sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat | reward=3.445308 | gesehen -> beobachtet -> gehandelt -> bestaetigt"
dio_1ioc,local_observation_to_action,dio_trace_lokal_reift,0.788973,order_shift_varianz,1,3.339704,2,2,0,1,0,lokal beobachtet und spaeter gehandelt,dio_1ioc | dio_trace_lokal_reift | strength=0.788973 | phases=order_shift_varianz | reward=3.339704 | lokal beobachtet und spaeter gehandelt
dio_121e,local_observation_to_action,dio_trace_lokal_reift,0.737269,order_shift,1,3.042412,2,2,0,1,0,lokal beobachtet und spaeter gehandelt,dio_121e | dio_trace_lokal_reift | strength=0.737269 | phases=order_shift | reward=3.042412 | lokal beobachtet und spaeter gehandelt
dio_1vpi,local_observation_to_action,dio_trace_lokal_reift,0.659408,sensor_relation_probe6_variation,1,2.597526,2,2,0,1,0,lokal beobachtet und spaeter gehandelt,dio_1vpi | dio_trace_lokal_reift | strength=0.659408 | phases=sensor_relation_probe6_variation | reward=2.597526 | lokal beobachtet und spaeter gehandelt
dio_1mx6,local_observation_to_action,dio_trace_lokal_reift,0.65211,sensor_relation_probe3,1,2.572766,2,2,0,1,0,lokal beobachtet und spaeter gehandelt,dio_1mx6 | dio_trace_lokal_reift | strength=0.652110 | phases=sensor_relation_probe3 | reward=2.572766 | lokal beobachtet und spaeter gehandelt
dio_1uyk,local_observation_to_action,dio_trace_lokal_reift,0.631056,sensor_relation_probe2,1,2.46987,2,2,0,1,0,lokal beobachtet und spaeter gehandelt,dio_1uyk | dio_trace_lokal_reift | strength=0.631056 | phases=sensor_relation_probe2 | reward=2.469870 | lokal beobachtet und spaeter gehandelt
dio_1dmh,local_observation_to_action,dio_trace_lokal_reift,0.628909,sensor_relation_probe3,1,2.480166,2,2,0,1,0,lokal beobachtet und spaeter gehandelt,dio_1dmh | dio_trace_lokal_reift | strength=0.628909 | phases=sensor_relation_probe3 | reward=2.480166 | lokal beobachtet und spaeter gehandelt
dio_1h5i,local_observation_to_action,dio_trace_lokal_reift,0.456578,order_shift,1,1.652416,1,2,0,1,0,lokal beobachtet und spaeter gehandelt,dio_1h5i | dio_trace_lokal_reift | strength=0.456578 | phases=order_shift | reward=1.652416 | lokal beobachtet und spaeter gehandelt
