target_family,target_sign_symbol,target_sign_state,related_family,related_sign_symbol,related_sign_state,relation_state,relation_score,field_overlap,action_overlap,source_overlap,target_sources,related_sources,target_best_actions,related_best_actions,target_observations,related_observations,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_0x52,dio_sign_10ck4rn,known_lage_direction_unripe,dio_0eh8,dio_sign_1j1acdy,known_lage_direction_candidate,weak_passive_sign_neighbor,0.316667,0.428571,0.5,0.166667,probe10_11|probe20|probe21|probe22|probe25|probe7_9,probe7_9,LONG|SHORT,SHORT,16,4,True,False,False,False,False,False,False,False
dio_0x52,dio_sign_10ck4rn,known_lage_direction_unripe,dio_0hd3,dio_sign_0teoyn4,known_lage_open_direction,weak_passive_sign_neighbor,0.316667,0.428571,0.5,0.166667,probe10_11|probe20|probe21|probe22|probe25|probe7_9,probe22,LONG|SHORT,LONG,16,2,True,False,False,False,False,False,False,False
dio_0x52,dio_sign_10ck4rn,known_lage_direction_unripe,dio_0qze,dio_sign_197xj03,known_lage_direction_candidate,weak_passive_sign_neighbor,0.316667,0.428571,0.5,0.166667,probe10_11|probe20|probe21|probe22|probe25|probe7_9,probe7_9,LONG|SHORT,LONG,16,4,True,False,False,False,False,False,False,False
dio_0x52,dio_sign_10ck4rn,known_lage_direction_unripe,dio_0szn,dio_sign_02tz3f2,known_lage_direction_candidate,weak_passive_sign_neighbor,0.256667,0.285714,0.5,0.166667,probe10_11|probe20|probe21|probe22|probe25|probe7_9,probe7_9,LONG|SHORT,SHORT,16,4,True,False,False,False,False,False,False,False
dio_0x52,dio_sign_10ck4rn,known_lage_direction_unripe,dio_1t1w,dio_sign_1e4m14k,known_lage_observed,weak_passive_sign_neighbor,0.163333,0.0,0.5,0.333333,probe10_11|probe20|probe21|probe22|probe25|probe7_9,probe21|probe22,LONG|SHORT,LONG,16,4,True,False,False,False,False,False,False,False
dio_0x52,dio_sign_10ck4rn,known_lage_direction_unripe,dio_0g0p,dio_sign_1t9vpj8,known_lage_observed,weak_passive_sign_neighbor,0.136667,0.0,0.5,0.166667,probe10_11|probe20|probe21|probe22|probe25|probe7_9,probe7_9,LONG|SHORT,LONG,16,4,True,False,False,False,False,False,False,False
dio_0x52,dio_sign_10ck4rn,known_lage_direction_unripe,dio_0gtz,dio_sign_1iwbv4i,known_lage_observed,weak_passive_sign_neighbor,0.136667,0.0,0.5,0.166667,probe10_11|probe20|probe21|probe22|probe25|probe7_9,probe7_9,LONG|SHORT,SHORT,16,4,True,False,False,False,False,False,False,False
dio_0x52,dio_sign_10ck4rn,known_lage_direction_unripe,dio_0t0v,dio_sign_1oe7u8p,known_lage_observed,weak_passive_sign_neighbor,0.136667,0.0,0.5,0.166667,probe10_11|probe20|probe21|probe22|probe25|probe7_9,probe10_11,LONG|SHORT,SHORT,16,2,True,False,False,False,False,False,False,False
dio_0x52,dio_sign_10ck4rn,known_lage_direction_unripe,dio_0u8u,dio_sign_1j2lrpn,known_lage_observed,weak_passive_sign_neighbor,0.136667,0.0,0.5,0.166667,probe10_11|probe20|probe21|probe22|probe25|probe7_9,probe7_9,LONG|SHORT,SHORT,16,4,True,False,False,False,False,False,False,False
dio_0x52,dio_sign_10ck4rn,known_lage_direction_unripe,dio_0y8w,dio_sign_1rgm6sd,known_lage_observed,weak_passive_sign_neighbor,0.136667,0.0,0.5,0.166667,probe10_11|probe20|probe21|probe22|probe25|probe7_9,probe7_9,LONG|SHORT,LONG,16,2,True,False,False,False,False,False,False,False
dio_0x52,dio_sign_10ck4rn,known_lage_direction_unripe,dio_1361,dio_sign_0mio37o,known_lage_observed,weak_passive_sign_neighbor,0.136667,0.0,0.5,0.166667,probe10_11|probe20|probe21|probe22|probe25|probe7_9,probe7_9,LONG|SHORT,LONG,16,4,True,False,False,False,False,False,False,False
dio_0x52,dio_sign_10ck4rn,known_lage_direction_unripe,dio_14eb,dio_sign_1t789qt,known_lage_observed,weak_passive_sign_neighbor,0.136667,0.0,0.5,0.166667,probe10_11|probe20|probe21|probe22|probe25|probe7_9,probe7_9,LONG|SHORT,SHORT,16,4,True,False,False,False,False,False,False,False
dio_0x52,dio_sign_10ck4rn,known_lage_direction_unripe,dio_14i8,dio_sign_1ihrrcn,known_lage_observed,weak_passive_sign_neighbor,0.136667,0.0,0.5,0.166667,probe10_11|probe20|probe21|probe22|probe25|probe7_9,probe7_9,LONG|SHORT,SHORT,16,4,True,False,False,False,False,False,False,False
dio_0x52,dio_sign_10ck4rn,known_lage_direction_unripe,dio_1ayy,dio_sign_0tticu3,known_lage_observed,weak_passive_sign_neighbor,0.136667,0.0,0.5,0.166667,probe10_11|probe20|probe21|probe22|probe25|probe7_9,probe7_9,LONG|SHORT,LONG,16,4,True,False,False,False,False,False,False,False
dio_0x52,dio_sign_10ck4rn,known_lage_direction_unripe,dio_1rv1,dio_sign_1w4nkph,known_lage_observed,weak_passive_sign_neighbor,0.11,0.0,0.5,0.0,probe10_11|probe20|probe21|probe22|probe25|probe7_9,probe23,LONG|SHORT,SHORT,16,2,True,False,False,False,False,False,False,False
