trajectory_state,count,avg_score_delta,avg_max_drift_pressure,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
stable_foreign_boundary_history,99,0.0,0.0,True,False,False,False,False,False,False,False
persistent_raw_history,76,0.165,0.0,True,False,False,False,False,False,False,False
mixed_reorganization_history,17,0.200117929,0.166666667,True,False,False,False,False,False,False,False
stable_variation_history,17,0.008623364,0.043137255,True,False,False,False,False,False,False,False
stable_inner_soft_variation_space,6,0.0125,0.263888889,True,False,False,False,False,False,False,False
reorganized_into_core,5,0.3889052,0.0,True,False,False,False,False,False,False,False
stable_recurrence_history,5,0.0,0.0,True,False,False,False,False,False,False,False
late_text_island_emergence,3,0.461552734,0.0,True,False,False,False,False,False,False,False
core_to_drift_reorganization,2,-0.112899133,0.225,True,False,False,False,False,False,False,False
persistent_drift_history,2,0.0054908,0.583333333,True,False,False,False,False,False,False,False
core_to_soft_variation,1,0.077544534,0.25,True,False,False,False,False,False,False,False
