family_action,symbol_family,action,open_reife_candidate_state,time_maturity_state,episode_freshness_state,episode_source_labels,episode_source_count,episode_count,phase_time_states,outcome_events,event_reward_sum,avg_event_reward,avg_finite_phase_age,avg_bars_held,has_inner_maturity,inner_memory_state,inner_map_count,inner_seeds,bridge_passive_family_action,bridge_maturity_state,bridge_similarity,passive_only,influences_action,is_gate,is_motoric,observation_weight,open_reife_note
dio_0arw:LONG,dio_0arw,LONG,open_inner_reife_candidate,fresh_carried_without_inner_memory,fresh_recurrent_episode_trace,"basis_probe18,followup4_probe18,followup5_probe18,followup6_probe18",4,12,executed_temporal_contact:12,TP:12,12.0,1.0,5.0,2.0,0,,0,,,,0.0,1,0,0,0,9.52,"dio_0arw:LONG: reale frische Tragspur ohne innere Reife. Weiter passiv beobachten; Quellen=basis_probe18,followup4_probe18,followup5_probe18,followup6_probe18; outcomes=TP:12; reward=12.000000."
dio_1txv:SHORT,dio_1txv,SHORT,open_inner_reife_candidate,fresh_carried_without_inner_memory,fresh_recurrent_episode_trace,"basis_probe18,followup4_probe18,followup5_probe18,followup6_probe18",4,12,no_prior_phase:12,TP:12,12.0,1.0,0.0,1.0,0,,0,,,,0.0,1,0,0,0,9.52,"dio_1txv:SHORT: reale frische Tragspur ohne innere Reife. Weiter passiv beobachten; Quellen=basis_probe18,followup4_probe18,followup5_probe18,followup6_probe18; outcomes=TP:12; reward=12.000000."
dio_1vpi:SHORT,dio_1vpi,SHORT,open_inner_reife_candidate,fresh_carried_without_inner_memory,fresh_recurrent_episode_trace,"basis_probe18,followup4_probe18,followup5_probe18,followup6_probe18",4,12,executed_temporal_contact:12,TP:12,12.0,1.0,6.0,3.0,0,,0,,,,0.0,1,0,0,0,9.52,"dio_1vpi:SHORT: reale frische Tragspur ohne innere Reife. Weiter passiv beobachten; Quellen=basis_probe18,followup4_probe18,followup5_probe18,followup6_probe18; outcomes=TP:12; reward=12.000000."
dio_02qu:LONG,dio_02qu,LONG,already_inner_bridged_reference,fresh_carried_from_inner_bridge,fresh_recurrent_episode_trace,"basis_probe18,followup4_probe18,followup5_probe18,followup6_probe18",4,12,executed_temporal_contact:12,TP:12,12.0,1.0,5.0,2.0,1,passive_inner_memory_stable,4,inner_trust_seed,dio_14xc:LONG,passive_observation_has_carried_neighbor,0.800216,1,0,0,0,9.82,"dio_02qu:LONG: bereits ueber innere Reifebruecke lesbar (dio_14xc:LONG); Quellen=basis_probe18,followup4_probe18,followup5_probe18,followup6_probe18; reward=12.000000."
dio_0u1i:SHORT,dio_0u1i,SHORT,older_open_trace_watch,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe15,followup4_probe15,followup5_probe15,followup6_probe15",4,12,no_prior_phase:12,TP:12,12.0,1.0,0.0,3.0,0,,0,,,,0.0,1,0,0,0,7.92,"dio_0u1i:SHORT: alte offene Zeitspur ohne aktuelle Konsequenz; Quellen=basis_probe15,followup4_probe15,followup5_probe15,followup6_probe15."
dio_0cgn:WAIT,dio_0cgn,WAIT,older_open_trace_watch,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe15,basis_probe16,followup4_probe15,followup4_probe16,followup5_probe15,followup5_probe16,followup6_probe15,followup6_probe16",8,24,no_prior_phase:24,NO_TRADE:24,0.0,0.0,0.0,0.0,0,,0,,,,0.0,1,0,0,0,6.24,"dio_0cgn:WAIT: alte offene Zeitspur ohne aktuelle Konsequenz; Quellen=basis_probe15,basis_probe16,followup4_probe15,followup4_probe16,followup5_probe15,followup5_probe16,followup6_probe15,followup6_probe16."
dio_1w4m:WAIT,dio_1w4m,WAIT,older_open_trace_watch,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16,followup6_probe16",4,24,no_prior_phase:24,NO_TRADE:24,0.0,0.0,0.0,0.0,0,,0,,,,0.0,1,0,0,0,4.04,"dio_1w4m:WAIT: alte offene Zeitspur ohne aktuelle Konsequenz; Quellen=basis_probe16,followup4_probe16,followup5_probe16,followup6_probe16."
dio_04zi:WAIT,dio_04zi,WAIT,older_open_trace_watch,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16,followup6_probe16",4,12,no_prior_phase:12,NO_TRADE:12,0.0,0.0,0.0,0.0,0,,0,,,,0.0,1,0,0,0,3.32,"dio_04zi:WAIT: alte offene Zeitspur ohne aktuelle Konsequenz; Quellen=basis_probe16,followup4_probe16,followup5_probe16,followup6_probe16."
dio_06bd:WAIT,dio_06bd,WAIT,older_open_trace_watch,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16,followup6_probe16",4,12,no_prior_phase:12,NO_TRADE:12,0.0,0.0,0.0,0.0,0,,0,,,,0.0,1,0,0,0,3.32,"dio_06bd:WAIT: alte offene Zeitspur ohne aktuelle Konsequenz; Quellen=basis_probe16,followup4_probe16,followup5_probe16,followup6_probe16."
dio_0fa9:WAIT,dio_0fa9,WAIT,older_open_trace_watch,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16,followup6_probe16",4,12,no_prior_phase:12,NO_TRADE:12,0.0,0.0,0.0,0.0,0,,0,,,,0.0,1,0,0,0,3.32,"dio_0fa9:WAIT: alte offene Zeitspur ohne aktuelle Konsequenz; Quellen=basis_probe16,followup4_probe16,followup5_probe16,followup6_probe16."
