symbol_family,action,outcome_event,count,reward_sum,avg_reward,runs,ticks,passive_only
dio_0c6o,LONG,SL,3,-3.0,-1.0,"153,154,155","1,1,1",1
dio_1k0r,LONG,SL,3,-3.0,-1.0,"153,154,155","9,9,9",1
dio_0rb2,WAIT,NO_TRADE,3,0.0,0.0,"153,154,155","16,16,16",1
dio_0vc8,WAIT,NO_TRADE,3,0.0,0.0,"153,154,155","7,7,7",1
dio_1g7l,WAIT,NO_TRADE,3,0.0,0.0,"153,154,155","8,8,8",1
dio_1jo7,WAIT,NO_TRADE,3,0.0,0.0,"153,154,155","17,17,17",1
dio_1q9b,WAIT,NO_TRADE,3,0.0,0.0,"153,154,155","15,15,15",1
dio_1qig,WAIT,NO_TRADE,3,0.0,0.0,"153,154,155","6,6,6",1
dio_1t73,WAIT,NO_TRADE,3,0.0,0.0,"153,154,155","14,14,14",1
dio_1w4m,WAIT,NO_TRADE,3,0.0,0.0,"153,154,155","18,18,18",1
