run,tick,symbol_family,action,outcome_event,reward,event_reward,close_reward,entry_price,tp_price,sl_price,exit_price,bars_held,source_file
153,1,dio_0c6o,LONG,SL,-1.0,-1.0,-1.788693,102.15000000,102.44000000,101.86000000,101.86000000,1,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv
153,6,dio_1qig,WAIT,NO_TRADE,0.0,0.0,0.0,100.08000000,100.08000000,100.08000000,100.08000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv
153,7,dio_0vc8,WAIT,NO_TRADE,0.0,0.0,0.0,100.30000000,100.30000000,100.30000000,100.30000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv
153,8,dio_1g7l,WAIT,NO_TRADE,0.0,0.0,0.0,100.58000000,100.58000000,100.58000000,100.58000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv
153,9,dio_1k0r,LONG,SL,-1.0,-1.0,-0.810979,100.80000000,101.49600000,100.10400000,100.10400000,2,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv
153,14,dio_1t73,WAIT,NO_TRADE,0.0,0.0,0.0,99.94000000,99.94000000,99.94000000,99.94000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv
153,15,dio_1q9b,WAIT,NO_TRADE,0.0,0.0,0.0,100.18000000,100.18000000,100.18000000,100.18000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv
153,16,dio_0rb2,WAIT,NO_TRADE,0.0,0.0,0.0,100.02000000,100.02000000,100.02000000,100.02000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv
153,17,dio_1jo7,WAIT,NO_TRADE,0.0,0.0,0.0,99.64000000,99.64000000,99.64000000,99.64000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv
153,18,dio_1w4m,WAIT,NO_TRADE,0.0,0.0,0.0,99.32000000,99.32000000,99.32000000,99.32000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv
154,1,dio_0c6o,LONG,SL,-1.0,-1.0,-1.788693,102.15000000,102.44000000,101.86000000,101.86000000,1,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_154\episodes.csv
154,6,dio_1qig,WAIT,NO_TRADE,0.0,0.0,0.0,100.08000000,100.08000000,100.08000000,100.08000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_154\episodes.csv
154,7,dio_0vc8,WAIT,NO_TRADE,0.0,0.0,0.0,100.30000000,100.30000000,100.30000000,100.30000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_154\episodes.csv
154,8,dio_1g7l,WAIT,NO_TRADE,0.0,0.0,0.0,100.58000000,100.58000000,100.58000000,100.58000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_154\episodes.csv
154,9,dio_1k0r,LONG,SL,-1.0,-1.0,-0.810979,100.80000000,101.49600000,100.10400000,100.10400000,2,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_154\episodes.csv
154,14,dio_1t73,WAIT,NO_TRADE,0.0,0.0,0.0,99.94000000,99.94000000,99.94000000,99.94000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_154\episodes.csv
154,15,dio_1q9b,WAIT,NO_TRADE,0.0,0.0,0.0,100.18000000,100.18000000,100.18000000,100.18000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_154\episodes.csv
154,16,dio_0rb2,WAIT,NO_TRADE,0.0,0.0,0.0,100.02000000,100.02000000,100.02000000,100.02000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_154\episodes.csv
154,17,dio_1jo7,WAIT,NO_TRADE,0.0,0.0,0.0,99.64000000,99.64000000,99.64000000,99.64000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_154\episodes.csv
154,18,dio_1w4m,WAIT,NO_TRADE,0.0,0.0,0.0,99.32000000,99.32000000,99.32000000,99.32000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_154\episodes.csv
155,1,dio_0c6o,LONG,SL,-1.0,-1.0,-1.788693,102.15000000,102.44000000,101.86000000,101.86000000,1,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_155\episodes.csv
155,6,dio_1qig,WAIT,NO_TRADE,0.0,0.0,0.0,100.08000000,100.08000000,100.08000000,100.08000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_155\episodes.csv
155,7,dio_0vc8,WAIT,NO_TRADE,0.0,0.0,0.0,100.30000000,100.30000000,100.30000000,100.30000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_155\episodes.csv
155,8,dio_1g7l,WAIT,NO_TRADE,0.0,0.0,0.0,100.58000000,100.58000000,100.58000000,100.58000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_155\episodes.csv
155,9,dio_1k0r,LONG,SL,-1.0,-1.0,-0.810979,100.80000000,101.49600000,100.10400000,100.10400000,2,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_155\episodes.csv
155,14,dio_1t73,WAIT,NO_TRADE,0.0,0.0,0.0,99.94000000,99.94000000,99.94000000,99.94000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_155\episodes.csv
155,15,dio_1q9b,WAIT,NO_TRADE,0.0,0.0,0.0,100.18000000,100.18000000,100.18000000,100.18000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_155\episodes.csv
155,16,dio_0rb2,WAIT,NO_TRADE,0.0,0.0,0.0,100.02000000,100.02000000,100.02000000,100.02000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_155\episodes.csv
155,17,dio_1jo7,WAIT,NO_TRADE,0.0,0.0,0.0,99.64000000,99.64000000,99.64000000,99.64000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_155\episodes.csv
155,18,dio_1w4m,WAIT,NO_TRADE,0.0,0.0,0.0,99.32000000,99.32000000,99.32000000,99.32000000,0,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_155\episodes.csv
