reference_family,candidate_family,separator_state,separator_reading,reference_contrast_group,candidate_contrast_group,reference_trace_state,candidate_trace_state,reference_visible_probe_count,candidate_visible_probe_count,visible_probe_gap,reference_carried_probe_count,candidate_carried_probe_count,carried_probe_gap,reference_carry_ratio,candidate_carry_ratio,carry_ratio_gap,reference_sensory_field_distance,candidate_sensory_field_distance,sensory_distance_gap,reference_lived_support_drop_count,candidate_lived_support_drop_count,lived_support_drop_gap,reference_neuro_tone_reorganizes_count,candidate_neuro_tone_reorganizes_count,neuro_tone_reorganizes_gap,reference_text_island_symbol,candidate_text_island_symbol,text_island_same,followup_reading,followup_state,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_11vr,dio_0bde,kipped_under_world_contact,"sichtbar, aber Weltkontakt traegt die Spur nicht stabil",multi_probe_carried_trace,immediate_or_continuous_kipp_trace,trace_fully_carried,trace_immediate_or_continuous_kipp,3,1,2,3,0,3,1.0,0.0,1.0,0.000760409,0.001971107,0.001210698,0,0,0,0,0,0,dio_text_38zk5e,dio_text_wgwxxp,False,kipped_in_followup,visible,True,False,False,False,False,False,False,False
dio_11vr,dio_1ndv,kipped_under_world_contact,"sichtbar, aber Weltkontakt traegt die Spur nicht stabil",multi_probe_carried_trace,immediate_or_continuous_kipp_trace,trace_fully_carried,trace_immediate_or_continuous_kipp,3,1,2,3,0,3,1.0,0.0,1.0,0.000760409,0.001571919,0.00081151,0,0,0,0,0,0,dio_text_38zk5e,dio_text_1tpco55,False,kipped_in_followup,visible,True,False,False,False,False,False,False,False
dio_11vr,dio_1fck,not_reproduced,im Folgeweltkontakt nicht erneut sichtbar,multi_probe_carried_trace,-,trace_fully_carried,-,3,0,3,3,0,3,1.0,0.0,1.0,0.000760409,0.0,-0.000760409,0,0,0,0,0,0,dio_text_38zk5e,,False,candidate_not_visible_in_followup,missing,True,False,False,False,False,False,False,False
dio_11vr,dio_0jx1,weak_single_contact_keim,"sichtbar und getragen, aber noch ohne Tragedauer",multi_probe_carried_trace,single_probe_carried_trace,trace_fully_carried,trace_fully_carried,3,1,2,3,1,2,1.0,1.0,0.0,0.000760409,0.008069833,0.007309424,0,0,0,0,0,0,dio_text_38zk5e,dio_text_1htwnrh,False,still_single_probe_carried,visible,True,False,False,False,False,False,False,False
dio_11vr,dio_0ocv,weak_single_contact_keim,"sichtbar und getragen, aber noch ohne Tragedauer",multi_probe_carried_trace,single_probe_carried_trace,trace_fully_carried,trace_fully_carried,3,1,2,3,1,2,1.0,1.0,0.0,0.000760409,0.005094003,0.004333594,0,0,0,0,0,0,dio_text_38zk5e,dio_text_1dmfjko,False,still_single_probe_carried,visible,True,False,False,False,False,False,False,False
dio_11vr,dio_0rwa,weak_single_contact_keim,"sichtbar und getragen, aber noch ohne Tragedauer",multi_probe_carried_trace,single_probe_carried_trace,trace_fully_carried,trace_fully_carried,3,1,2,3,1,2,1.0,1.0,0.0,0.000760409,0.005754123,0.004993714,0,0,0,0,0,0,dio_text_38zk5e,dio_text_y8bf0y,False,still_single_probe_carried,visible,True,False,False,False,False,False,False,False
dio_11vr,dio_19b6,weak_single_contact_keim,"sichtbar und getragen, aber noch ohne Tragedauer",multi_probe_carried_trace,single_probe_carried_trace,trace_fully_carried,trace_fully_carried,3,1,2,3,1,2,1.0,1.0,0.0,0.000760409,0.005742013,0.004981604,0,0,0,0,0,0,dio_text_38zk5e,dio_text_qt2gbm,False,still_single_probe_carried,visible,True,False,False,False,False,False,False,False
