family,runs,run_count,symbol_count,rows,symbols_per_row,executed_long,executed_short,executed_wait,raw_long,raw_short,best_long,best_short,reward_sum,avg_reward,observation_learning_events,avg_observation_pressure
dio_1lam,"27,28,29,30",4,1,4,0.25,4,0,0,4,0,4,0,5.19776,1.29944,0,0.0
dio_1cpq,"27,28,29,30",4,1,4,0.25,0,3,1,0,4,0,4,3.876612,0.969153,1,0.016573
dio_0odx,"27,28,29,30",4,1,4,0.25,0,2,2,0,2,0,4,0.520934,0.130234,2,0.018704
dio_1r0b,"27,28",2,1,2,0.5,0,2,0,0,2,0,2,1.959404,0.979702,0,0.0
dio_0t45,"29,30",2,1,2,0.5,0,0,2,0,2,0,2,0.0,0.0,2,0.020955
dio_1mml,27,1,1,1,1.0,1,0,0,1,0,1,0,0.237245,0.237245,0,0.0
dio_1hjj,27,1,1,1,1.0,0,0,1,0,1,0,1,0.0,0.0,1,0.015866
dio_1h37,27,1,1,1,1.0,0,0,1,0,0,1,0,0.0,0.0,1,0.044994
