family_action,compare_state,before_score,after_score,score_delta,before_reward,after_reward,reward_delta,before_episode_count,after_episode_count,episode_delta,before_trade_count,after_trade_count,before_tp_count,after_tp_count,before_sl_count,after_sl_count,before_multisensory_stability,after_multisensory_stability,passive_only,influences_action,is_gate,is_motoric
dio_0arw:LONG,stable_existing,0.877221,0.877221,0.0,6.0,9.0,3.0,6,9,3,6,9,6,9,0,0,1.0,1.0,1,0,0,0
dio_1txv:SHORT,stable_existing,0.793333,0.793333,0.0,6.0,9.0,3.0,6,9,3,6,9,6,9,0,0,1.0,1.0,1,0,0,0
dio_1vpi:SHORT,stable_existing,0.862445,0.862445,0.0,6.0,9.0,3.0,6,9,3,6,9,6,9,0,0,1.0,1.0,1,0,0,0
